target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	913.886	3.42259	12.9869
rna-XR_002635081.1	711	609.583	32	182.037
rna-XR_002636046.1	3105	3001.89	334.635	386.564
rna-XR_002638148.1	1586	1482.89	27	63.1393
rna-XR_002639675.1	25148	25044.9	179	24.7843
rna-XR_002636574.1	10029	9925.89	69.9337	24.4321
rna-XR_002636864.1	6843	6739.89	879.48	452.498
rna-XR_002636863.1	6857	6753.89	118.985	61.0918
rna-XR_002635698.1	5581	5477.89	38	24.0555
rna-XR_002637875.1	1611	1507.89	13.4222	30.8672
rna-XR_002639757.1	803	701.438	21	103.818
rna-XR_002637404.1	5548	5444.89	0	0
rna-XR_002637403.1	5983	5879.89	121.031	71.379
rna-XR_002638411.1	1032	928.886	6.16483	23.0145
rna-XR_002638407.1	729	627.536	2.5445	14.0607
rna-XR_002639131.1	1047	943.886	3	11.0216
rna-XR_002637017.1	894	791.575	8.30209	36.3696
rna-XR_002637713.1	950	847.083	6	24.5623
rna-XR_002637880.1	796	694.438	3	14.9807
rna-XR_002637799.1	2043	1939.89	2	3.57517
rna-XR_002638995.1	4595	4491.89	493.632	381.082
rna-XR_002634943.1	2592	2488.89	6.04667	8.42471
rna-XR_002638063.1	2112	2008.89	0	0
rna-XR_002638876.1	781	679.438	3	15.3114
rna-XR_002637797.1	729	627.536	2051	11333.7
rna-XR_002635789.1	2467	2363.89	94.2368	138.241
rna-XR_002634753.1	12574	12470.9	80.6355	22.4219
rna-XR_002634768.1	11583	11479.9	107.574	32.4948
rna-XR_002634760.1	11581	11477.9	127.248	38.4445
rna-XR_002634750.1	11580	11476.9	138.398	41.8166
rna-XR_002634765.1	11580	11476.9	138.398	41.8166
rna-XR_002634752.1	11577	11473.9	178.065	53.8161
rna-XR_002634754.1	11576	11472.9	193.673	58.5382
rna-XR_002634762.1	11576	11472.9	193.673	58.5382
rna-XR_002634766.1	11574	11470.9	229.117	69.2634
rna-XR_002633935.1	431	331.637	0	0
rna-XR_002634061.1	501	401.188	9	77.7926
rna-XR_002639939.1	2258	2154.89	219.271	352.858
rna-XR_002636171.1	1823	1719.89	486	979.896
rna-XR_002639137.1	2172	2068.89	447.109	749.411
rna-XR_002639138.1	13744	13640.9	408.276	103.79
rna-XR_002637000.1	940	837.209	1.02826	4.25903
rna-XR_002635934.1	8203	8099.89	422.902	181.052
rna-XR_002638094.1	4346	4242.89	2.77765	2.27018
rna-XR_002638095.1	4346	4242.89	2.77765	2.27018
rna-XR_002638091.1	4345	4241.89	3.48629	2.85002
rna-XR_002638093.1	4345	4241.89	3.48629	2.85002
rna-XR_002638097.1	4345	4241.89	3.48629	2.85002
rna-XR_002638090.1	4343	4239.89	5.49292	4.49254
rna-XR_002638096.1	4343	4239.89	5.49292	4.49254
rna-XR_002638679.1	12442	12338.9	710.35	199.637
rna-XR_002638671.1	11226	11122.9	446.863	139.316
rna-XR_002638132.1	668	566.759	9	55.0665
rna-XR_002636687.1	622	520.967	5	33.2815
rna-XR_002638840.1	1814	1710.89	10	20.2685
rna-XR_002638600.1	25571	25467.9	429.437	58.4723
rna-XR_002635894.1	3468	3364.89	62.5886	64.5013
rna-XR_002635072.1	2915	2811.89	184.561	227.607
rna-XR_002636555.1	2022	1918.89	10	18.0715
rna-XR_002638364.1	4275	4171.89	922.445	766.746
rna-XR_002637425.1	53382	53278.9	601.234	39.132
rna-XR_002637423.1	1528	1424.89	0	0
rna-XR_002637424.1	1524	1420.89	0	0
rna-XR_002637419.1	2114	2010.89	0.0337164	0.0581429
rna-XR_002637421.1	2114	2010.89	0.0337164	0.0581429
rna-XR_002636179.1	2869	2765.89	14.8338	18.5979
rna-XR_002634989.1	5721	5617.89	55.5125	34.2658
rna-XR_002634991.1	5721	5617.89	55.5125	34.2658
rna-XR_002637676.1	1190	1086.89	34	108.477
rna-XR_002639760.1	3442	3338.89	852.749	885.651
rna-XR_002637696.1	1358	1254.89	15.0861	41.6884
rna-XR_002637764.1	16571	16467.9	108.454	22.8376
rna-XR_002638213.1	2887	2783.89	18	22.4215
rna-XR_002635759.1	5044	4940.89	0.0515659	0.036191
rna-XR_002635760.1	5047	4943.89	233.948	164.095
rna-XR_002639528.1	3153	3049.89	39	44.3429
rna-XR_002637753.1	41923	41819.9	610.648	50.635
rna-XR_002637752.1	50097	49993.9	254.486	17.6519
rna-XR_002636558.1	2509	2405.89	137.924	198.797
rna-XR_002635374.1	2792	2688.89	21.0145	27.1013
rna-XR_002638485.1	25118	25014.9	56.5058	7.83318
rna-XR_002638486.1	25122	25018.9	48.4343	6.71318
rna-XR_002638487.1	20258	20154.9	854.771	147.066
rna-XR_002637599.1	1516	1412.89	3668	9002.55
