target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	918.05	57.8836	91.7069
rna-XR_002635081.1	711	612.094	29	68.9117
rna-XR_002636046.1	3105	3006.05	247.685	119.844
rna-XR_002638148.1	1586	1487.05	105	102.701
rna-XR_002639675.1	25148	25049.1	1755	101.906
rna-XR_002636574.1	10029	9930.05	514.565	75.3706
rna-XR_002636864.1	6843	6744.05	964.808	208.081
rna-XR_002636863.1	6857	6758.05	3623.98	779.969
rna-XR_002635698.1	5581	5482.05	375	99.495
rna-XR_002637875.1	1611	1512.05	75.8468	72.9599
rna-XR_002639757.1	803	704.094	97	200.38
rna-XR_002637404.1	5548	5449.05	0.0161371	0.00430742
rna-XR_002637403.1	5983	5884.05	350.399	86.6163
rna-XR_002638411.1	1032	933.05	222.797	347.309
rna-XR_002638407.1	729	630.094	0	0
rna-XR_002639131.1	1047	948.05	52.4541	80.475
rna-XR_002637017.1	894	795.094	110.216	201.622
rna-XR_002637713.1	950	851.05	109	186.288
rna-XR_002637880.1	796	697.094	35	73.0281
rna-XR_002637799.1	2043	1944.05	114.933	85.9903
rna-XR_002638995.1	4595	4496.05	1286.89	416.317
rna-XR_002634943.1	2592	2493.05	37.2289	21.7201
rna-XR_002638063.1	2112	2013.05	6.06714	4.38371
rna-XR_002638876.1	781	682.094	41	87.4284
rna-XR_002637797.1	729	630.094	209	482.452
rna-XR_002635789.1	2467	2368.05	458.956	281.899
rna-XR_002634753.1	12574	12475.1	494.241	57.6248
rna-XR_002634768.1	11583	11484.1	379.628	48.0813
rna-XR_002634760.1	11581	11482.1	462.283	58.5601
rna-XR_002634750.1	11580	11481.1	510.139	64.6279
rna-XR_002634765.1	11580	11481.1	510.139	64.6279
rna-XR_002634752.1	11577	11478.1	685.572	86.8756
rna-XR_002634754.1	11576	11477.1	756.569	95.8806
rna-XR_002634762.1	11576	11477.1	756.569	95.8806
rna-XR_002634766.1	11574	11475.1	921.405	116.791
rna-XR_002633935.1	431	332.143	24	105.099
rna-XR_002634061.1	501	402.123	62	224.257
rna-XR_002639939.1	2258	2159.05	1031.87	695.145
rna-XR_002636171.1	1823	1724.05	125	105.456
rna-XR_002639137.1	2172	2073.05	2512.94	1763.13
rna-XR_002639138.1	13744	13645.1	2292.97	244.419
rna-XR_002637000.1	940	841.05	4.15843	7.19151
rna-XR_002635934.1	8203	8104.05	2531.74	454.391
rna-XR_002638094.1	4346	4247.05	148	50.6859
rna-XR_002638095.1	4346	4247.05	148	50.6859
rna-XR_002638091.1	4345	4246.05	1.11921e-05	3.8339e-06
rna-XR_002638093.1	4345	4246.05	1.11921e-05	3.8339e-06
rna-XR_002638097.1	4345	4246.05	1.11921e-05	3.8339e-06
rna-XR_002638090.1	4343	4244.05	1.90691e-05	6.53524e-06
rna-XR_002638096.1	4343	4244.05	1.90691e-05	6.53524e-06
rna-XR_002638679.1	12442	12343.1	3704.89	436.582
rna-XR_002638671.1	11226	11127.1	2238.31	292.586
rna-XR_002638132.1	668	569.094	16	40.893
rna-XR_002636687.1	622	523.123	32	88.9731
rna-XR_002638840.1	1814	1715.05	161	136.541
rna-XR_002638600.1	25571	25472.1	1690.4	96.5248
rna-XR_002635894.1	3468	3369.05	528.488	228.161
rna-XR_002635072.1	2915	2816.05	1011.61	522.501
rna-XR_002636555.1	2022	1923.05	130	98.3254
rna-XR_002638364.1	4275	4176.05	3640.34	1267.91
rna-XR_002637425.1	53382	53283.1	2395.76	65.3984
rna-XR_002637423.1	1528	1429.05	1.00329	1.02116
rna-XR_002637424.1	1524	1425.05	23.8902	24.3838
rna-XR_002637419.1	2114	2015.05	147.347	106.358
rna-XR_002637421.1	2114	2015.05	147.347	106.358
rna-XR_002636179.1	2869	2770.05	12.5427	6.58589
rna-XR_002634989.1	5721	5622.05	321.491	83.1738
rna-XR_002634991.1	5721	5622.05	321.491	83.1738
rna-XR_002637676.1	1190	1091.05	72	95.9844
rna-XR_002639760.1	3442	3343.05	1237.43	538.384
rna-XR_002637696.1	1358	1259.05	80.1612	92.6049
rna-XR_002637764.1	16571	16472.1	1210.83	106.917
rna-XR_002638213.1	2887	2788.05	191	99.6427
rna-XR_002635759.1	5044	4945.05	63.2042	18.5904
rna-XR_002635760.1	5047	4948.05	500.796	147.211
rna-XR_002639528.1	3153	3054.05	521.143	248.195
rna-XR_002637753.1	41923	41824.1	3533.21	122.873
rna-XR_002637752.1	50097	49998.1	1214.25	35.324
rna-XR_002636558.1	2509	2410.05	408.068	246.275
rna-XR_002635374.1	2792	2693.05	350.253	189.169
rna-XR_002638485.1	25118	25019.1	216.036	12.5594
rna-XR_002638486.1	25122	25023.1	180.303	10.4803
rna-XR_002638487.1	20258	20159.1	2546.92	183.763
rna-XR_002637599.1	1516	1417.05	149	152.937
rna-XR_002637108.1	2570	2471.05	182	107.128
rna-XR_002638776.1	6414	6315.05	632.937	145.779
rna-XR_002634884.1	4828	4729.05	878	270.043
rna-XR_002636369.1	6057	5958.05	84.6725	20.6705
rna-XR_002636373.1	6057	5958.05	84.6725	20.6705
rna-XR_002636376.1	6057	5958.05	84.6725	20.6705
rna-XR_002636377.1	6057	5958.05	84.6725	20.6705
rna-XR_002636378.1	6057	5958.05	84.6725	20.6705
rna-XR_002636379.1	6057	5958.05	84.6725	20.6705
rna-XR_002636380.1	6049	5950.05	16.7853	4.10318
rna-XR_002635791.1	5513	5414.05	224.597	60.3386
rna-XR_002634844.1	2698	2599.05	147	82.2651
rna-XR_002639408.1	2832	2733.05	100.761	53.6239
rna-XR_002634095.1	6873	6774.05	468.134	100.516
rna-XR_002634101.1	6873	6774.05	468.134	100.516
rna-XR_002639331.1	4949	4850.05	3035.87	910.436
rna-XR_002639328.1	576	477.123	29.6884	90.5044
rna-XR_002637493.1	1981	1882.05	179.282	138.554
rna-XR_002639142.1	4052	3953.05	528.347	194.402
rna-XR_002639143.1	1776	1677.05	172	149.175
rna-XR_002639218.1	6249	6150.05	364.713	86.2553
rna-XR_002633990.1	2189	2090.05	339	235.915
rna-XR_002633994.1	13871	13772.1	3176.4	335.467
rna-XR_002633989.1	1301	1202.05	1119.79	1354.96
rna-XR_002637639.1	1965	1866.05	0	0
rna-XR_002637641.1	2339	2240.05	125	81.1643
rna-XR_002636585.1	3459	3360.05	225.074	97.4299
rna-XR_002637687.1	23847	23748.1	1148.64	70.3511
rna-XR_002637686.1	20703	20604.1	989.944	69.8829
rna-XR_002637682.1	20296	20197.1	80.0155	5.76234
rna-XR_002637684.1	14299	14200.1	0	0
rna-XR_002637685.1	9252	9153.05	0	0
rna-XR_002637688.1	7694	7595.05	0	0
rna-XR_002637683.1	7584	7485.05	0	0
rna-XR_002637453.1	7631	7532.05	492	95.009
rna-XR_002637596.1	6923	6824.05	2604.88	555.211
rna-XR_002637884.1	1653	1554.05	61	57.0923
rna-XR_002637648.1	1704	1605.05	58	52.5596
rna-XR_002634904.1	2552	2453.05	242.161	143.585
rna-XR_002635937.1	2064	1965.05	74.0773	54.8308
rna-XR_002635938.1	1077	978.05	20.7085	30.7964
rna-XR_002637712.1	3545	3446.05	137.998	58.2456
rna-XR_002635864.1	820	721.094	185.381	373.927
rna-XR_002639527.1	2722	2623.05	70.3219	38.9939
rna-XR_002638454.1	1701	1602.05	14	12.7106
rna-XR_002636217.1	3079	2980.05	160.862	78.5131
rna-XR_002636245.1	5545	5446.05	12413.2	3315.24
rna-XR_002636251.1	3325	3226.05	455.201	205.232
rna-XR_002637871.1	1356	1257.05	442.767	512.313
rna-XR_002638817.1	571	472.123	20.8777	64.3192
rna-XR_002639340.1	1733	1634.05	60	53.4071
rna-XR_002636108.1	5480	5381.05	0	0
rna-XR_002636103.1	5686	5587.05	502.837	130.905
rna-XR_002636111.1	6895	6796.05	953.477	204.064
rna-XR_002636110.1	1447	1348.05	252.137	272.047
rna-XR_002636102.1	4459	4360.05	761.284	253.962
rna-XR_002638676.1	959	860.05	21.09	35.6669
rna-XR_002635843.1	1975	1876.05	504.337	391.012
rna-XR_002636610.1	2026	1927.05	159	120.01
rna-XR_002635080.1	2533	2434.05	904.755	540.647
rna-XR_002634898.1	2953	2854.05	604.211	307.921
rna-XR_002636294.1	2428	2329.05	133.235	83.2057
rna-XR_002636554.1	2610	2511.05	3126.87	1811.2
rna-XR_002637587.1	1813	1714.05	56	47.5201
rna-XR_002636941.1	6130	6031.05	305.224	73.6104
rna-XR_002638522.1	1879	1780.05	226	184.667
rna-XR_002638528.1	1438	1339.05	548.066	595.318
rna-XR_002638527.1	1608	1509.05	343.249	330.84
rna-XR_002638526.1	4568	4469.05	888.817	289.274
rna-XR_002638523.1	2010	1911.05	0	0
rna-XR_002638303.1	1445	1346.05	81.9248	88.5252
rna-XR_002638302.1	1624	1525.05	138.51	132.102
rna-XR_002638310.1	723	624.094	47.4648	110.62
rna-XR_002638309.1	1739	1640.05	235.926	209.234
rna-XR_002638306.1	1749	1650.05	532.349	469.259
rna-XR_002638305.1	4939	4840.05	251.237	75.5001
rna-XR_002638307.1	1124	1025.05	262	371.765
rna-XR_002638301.1	1470	1371.05	944	1001.46
rna-XR_002638308.1	3291	3192.05	1846.15	841.222
rna-XR_002635830.1	1678	1579.05	11.8515	10.9167
rna-XR_002635827.1	1699	1600.05	3.8412e-06	3.49177e-06
rna-XR_002635061.1	3514	3415.05	249.475	106.254
rna-XR_002635063.1	3514	3415.05	249.475	106.254
rna-XR_002637673.1	727	628.094	88.0117	203.811
rna-XR_002638010.1	1502	1403.05	90.7055	94.0315
rna-XR_002634859.1	6557	6458.05	2083.63	469.279
rna-XR_002638247.1	9663	9564.05	10642.4	1618.5
rna-XR_002638246.1	1443	1344.05	104.518	113.107
rna-XR_002638245.1	1857	1758.05	367.5	304.046
rna-XR_002639826.1	4204	4105.05	386.249	136.855
rna-XR_002638966.1	4828	4729.05	2223.13	683.759
rna-XR_002638963.1	1491	1392.05	168	175.536
rna-XR_002638967.1	993	894.05	286.458	466.028
rna-XR_002638954.1	32641	32542.1	6670.34	298.137
rna-XR_002638956.1	32641	32542.1	6670.34	298.137
rna-XR_002638964.1	2285	2186.05	0	0
rna-XR_002638949.1	1372	1273.05	0	0
rna-XR_002638953.1	3664	3565.05	30.6354	12.4989
rna-XR_002638951.1	3629	3530.05	389.784	160.604
rna-XR_002638955.1	3629	3530.05	389.784	160.604
rna-XR_002638961.1	2843	2744.05	306.594	162.512
rna-XR_002638946.1	4999	4900.05	2219.65	658.865
rna-XR_002638945.1	6599	6500.05	0	0
rna-XR_002638943.1	6618	6519.05	1003.64	223.926
rna-XR_002638947.1	7855	7756.05	807.789	151.485
rna-XR_002638948.1	7855	7756.05	807.789	151.485
rna-XR_002638959.1	1099	1000.05	27.998	40.721
rna-XR_002638965.1	2260	2161.05	560.113	376.985
rna-XR_002636492.1	2399	2300.05	339.947	214.975
rna-XR_002636651.1	2850	2751.05	2400.16	1268.98
rna-XR_002638793.1	993	894.05	0	0
rna-XR_002634078.1	3134	3035.05	141.327	67.7287
rna-XR_002638874.1	2695	2596.05	701.517	393.041
rna-XR_002639565.1	905	806.094	47.1466	85.0702
rna-XR_002639931.1	1414	1315.05	209	231.162
rna-XR_002639932.1	2682	2583.05	1863.54	1049.35
rna-XR_002634837.1	4045	3946.05	2815.78	1037.89
rna-XR_002636557.1	1021	922.05	311.052	490.672
rna-XR_002637526.1	2367	2268.05	183	117.358
rna-XR_002638529.1	3246	3147.05	166.84	77.1099
rna-XR_002634986.1	1778	1679.05	112	97.0213
rna-XR_002635628.1	1288	1189.05	60	73.3946
rna-XR_002638593.1	17761	17662.1	1507.21	124.121
rna-XR_002636553.1	1322	1223.05	129.036	153.455
rna-XR_002638838.1	7138	7039.05	662.153	136.822
rna-XR_002638839.1	7141	7042.05	408.942	84.4648
rna-XR_002638080.1	5531	5432.05	476.004	127.456
rna-XR_002639722.1	2612	2513.05	180	104.18
rna-XR_002638264.1	2048	1949.05	122	91.0437
rna-XR_002633663.1	1498	1399.05	503.061	522.998
rna-XR_002633662.1	7992	7893.05	2802.14	516.367
rna-XR_002637946.1	1880	1781.05	0	0
rna-XR_002639983.1	767	668.094	1027.31	2236.55
rna-XR_002639982.1	2103	2004.05	292.911	212.589
rna-XR_002638078.1	2504	2405.05	218.234	131.981
rna-XR_002633751.1	1991	1892.05	208	159.898
rna-XR_002636430.1	7596	7497.05	887.238	172.132
rna-XR_002638224.1	4186	4087.05	544.55	193.794
rna-XR_002633802.1	1198	1099.05	157.803	208.838
rna-XR_002638445.1	1468	1369.05	107	113.678
rna-XR_002635629.1	1548	1449.05	59	59.2218
rna-XR_002635631.1	1546	1447.05	0	0
rna-XR_002635630.1	1537	1438.05	0	0
rna-XR_002635771.1	1655	1556.05	420.404	392.967
rna-XR_002635772.1	1633	1534.05	89.0327	84.4157
rna-XR_002638358.1	4213	4114.05	1112.41	393.285
rna-XR_002639602.1	1110	1011.05	71.1928	102.418
rna-XR_002638256.1	639	540.123	47	126.566
rna-XR_002638056.1	1059	960.05	72.7278	110.184
rna-XR_002637756.1	1608	1509.05	197	189.878
rna-XR_002637665.1	847	748.094	120	233.313
rna-XR_002634963.1	1187	1088.05	65.0708	86.9861
rna-XR_002636599.1	4711	4612.05	439.892	138.728
rna-XR_002639766.1	5237	5138.05	342	96.8145
rna-XR_002639642.1	881	782.094	141.598	263.336
rna-XR_002639641.1	1139	1040.05	6.09029	8.51719
rna-XR_002636930.1	710	611.094	45.7603	108.916
rna-XR_002638482.1	3558	3459.05	1147.8	482.637
rna-XR_002637529.1	881	782.094	305.587	568.314
rna-XR_002634513.1	2408	2309.05	137	86.2979
rna-XR_002636295.1	2793	2694.05	158.213	85.4182
rna-XR_002636739.1	1044	945.05	202	310.892
rna-XR_002637883.1	1089	990.05	48	70.5175
rna-XR_002637436.1	5253	5154.05	2125.7	599.884
rna-XR_002637437.1	1786	1687.05	150.572	129.816
rna-XR_002638150.1	8865	8766.05	1595.72	264.768
rna-XR_002639268.1	1747	1648.05	465.174	410.542
rna-XR_002637603.1	1350	1251.05	224.783	261.338
rna-XR_002637605.1	1768	1669.05	120	104.574
rna-XR_002637668.1	4890	4791.05	624	189.438
rna-XR_002637647.1	2918	2819.05	183	94.4194
rna-XR_002638534.1	706	607.094	60	143.75
rna-XR_002638628.1	4763	4664.05	440.019	137.221
rna-XR_002638629.1	4763	4664.05	440.019	137.221
rna-XR_002639363.1	1283	1184.05	58.3347	71.6588
rna-XR_002639364.1	1455	1356.05	236.282	253.436
rna-XR_002635622.1	676	577.094	7	17.6427
rna-XR_002635617.1	14178	14079.1	5415.06	559.427
rna-XR_002635618.1	1900	1801.05	3.51883	2.84175
rna-XR_002635619.1	1900	1801.05	3.51883	2.84175
rna-XR_002638255.1	1614	1515.05	136.977	131.503
rna-XR_002637606.1	1098	999.05	73.6644	107.247
rna-XR_002637747.1	1552	1453.05	136	136.135
rna-XR_002637642.1	2126	2027.05	3339.44	2396.19
rna-XR_002637006.1	2188	2089.05	822.546	572.696
rna-XR_002638214.1	1494	1395.05	81.266	84.7289
rna-XR_002634024.1	3566	3467.05	32.6387	13.6926
rna-XR_002638541.1	2020	1921.05	518.3	392.424
rna-XR_002635887.1	4438	4339.05	353.168	118.386
rna-XR_002635890.1	1396	1297.05	91.5455	102.658
rna-XR_002636668.1	2129	2030.05	53.3307	38.2106
rna-XR_002637607.1	735	636.094	11.6875	26.7247
rna-XR_002634785.1	4446	4347.05	285.651	95.5771
rna-XR_002634783.1	4436	4337.05	2.61444	0.876792
rna-XR_002637655.1	1865	1766.05	681.94	561.637
rna-XR_002637084.1	2130	2031.05	64.6693	46.3116
rna-XR_002637018.1	1396	1297.05	14.4545	16.2092
rna-XR_002635856.1	6437	6338.05	3403.2	780.988
rna-XR_002634460.1	3633	3534.05	200.361	82.462
rna-XR_002634111.1	3100	3001.05	0	0
rna-XR_002634121.1	3225	3126.05	195.025	90.7418
rna-XR_002637961.1	1742	1643.05	93	82.3275
rna-XR_002634651.1	1493	1394.05	67.5526	70.4818
rna-XR_002634398.1	4048	3949.05	10.0211	3.69091
rna-XR_002634436.1	1850	1751.05	103.854	86.2659
rna-XR_002638323.1	3712	3613.05	599.381	241.291
rna-XR_002638318.1	16421	16322.1	807.565	71.9641
rna-XR_002638320.1	16421	16322.1	807.565	71.9641
rna-XR_002638321.1	16421	16322.1	807.565	71.9641
rna-XR_002638278.1	2480	2381.05	52.5212	32.0833
rna-XR_002638279.1	2223	2124.05	0	0
rna-XR_002638270.1	3586	3487.05	168.233	70.1724
rna-XR_002638272.1	3586	3487.05	168.233	70.1724
rna-XR_002638277.1	3586	3487.05	168.233	70.1724
rna-XR_002638052.1	2758	2659.05	499.732	273.353
rna-XR_002637577.1	497	398.123	27	98.6414
rna-XR_002637581.1	1435	1336.05	62	67.4966
rna-XR_002637576.1	652	553.094	132	347.127
rna-XR_002638049.1	1279	1180.05	66	81.3498
rna-XR_002638048.1	5966	5867.05	1908.32	473.091
rna-XR_002637664.1	778	679.094	8.40871	18.01
rna-XR_002634866.1	1305	1206.05	77	92.862
rna-XR_002634137.1	1682	1583.05	63.1743	58.0441
rna-XR_002639373.1	9842	9743.05	1344.06	200.648
rna-XR_002638923.1	447	348.143	61	254.85
rna-XR_002638924.1	1436	1337.05	200	217.568
rna-XR_002638202.1	6814	6715.05	297.27	64.3893
rna-XR_002638203.1	6814	6715.05	297.27	64.3893
rna-XR_002638204.1	6814	6715.05	297.27	64.3893
rna-XR_002638205.1	6814	6715.05	297.27	64.3893
rna-XR_002638206.1	6814	6715.05	297.27	64.3893
rna-XR_002637672.1	16611	16512.1	489.673	43.1338
rna-XR_002637474.1	1286	1187.05	0	0
rna-XR_002637435.1	1704	1605.05	45	40.779
rna-XR_002636112.1	26579	26480.1	14926.6	819.889
rna-XR_002638767.1	8837	8738.05	474	78.8999
rna-XR_002635684.1	1317	1218.05	97.9001	116.904
rna-XR_002634696.1	1468	1369.05	0	0
rna-XR_002634699.1	923	824.05	0	0
rna-XR_002634692.1	1516	1417.05	65.9513	67.6941
rna-XR_002635449.1	3523	3424.05	982.907	417.528
rna-XR_002637485.1	17567	17468.1	344.223	28.6621
rna-XR_002637484.1	6567	6468.05	0	0
rna-XR_002638388.1	675	576.094	84	212.08
rna-XR_002636185.1	8085	7986.05	106.71	19.4352
rna-XR_002636192.1	8083	7984.05	141.656	25.8062
rna-XR_002636183.1	8066	7967.05	1578.36	288.152
rna-XR_002636190.1	8066	7967.05	1578.36	288.152
rna-XR_002636184.1	8065	7966.05	1268.42	231.597
rna-XR_002636189.1	8065	7966.05	1268.42	231.597
rna-XR_002637601.1	17568	17469.1	634.504	52.8297
rna-XR_002638636.1	4843	4744.05	1169.24	358.483
rna-XR_002637671.1	1478	1379.05	142.265	150.048
rna-XR_002636291.1	2008	1909.05	90	68.5706
rna-XR_002637960.1	858	759.094	59	113.05
rna-XR_002637517.1	3896	3797.05	2862.98	1096.69
rna-XR_002634610.1	1591	1492.05	88.2085	85.9884
rna-XR_002634612.1	1462	1363.05	68.2671	72.8471
rna-XR_002634617.1	1472	1373.05	0.0175299	0.0185697
rna-XR_002637016.1	1284	1185.05	43.0999	52.8995
rna-XR_002638146.1	909	810.094	229.239	411.591
rna-XR_002636834.1	6279	6180.05	129.372	30.4483
rna-XR_002636833.1	9294	9195.05	1238.21	195.863
rna-XR_002635793.1	840	741.094	57	111.87
rna-XR_002639774.1	5425	5326.05	387.039	105.697
rna-XR_002639776.1	5425	5326.05	387.039	105.697
rna-XR_002638969.1	1288	1189.05	145.172	177.58
rna-XR_002638910.1	1127	1028.05	97	137.237
rna-XR_002637830.1	1769	1670.05	172.719	150.427
rna-XR_002637831.1	3233	3134.05	2143.4	994.739
rna-XR_002637832.1	1827	1728.05	215	180.965
rna-XR_002634053.1	2717	2618.05	115	63.89
rna-XR_002636597.1	3071	2972.05	479.225	234.529
rna-XR_002636381.1	1987	1888.05	166	127.881
rna-XR_002639724.1	9529	9430.05	0	0
rna-XR_002639723.1	11932	11833.1	8.83403	1.08586
rna-XR_002639725.1	11932	11833.1	8.83403	1.08586
