target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	910.02	0	0
rna-XR_002635081.1	711	608.718	14	75.7065
rna-XR_002636046.1	3105	2998.02	1873.76	2057.32
rna-XR_002638148.1	1586	1479.02	48	106.829
rna-XR_002639675.1	25148	25041	497	65.3319
rna-XR_002636574.1	10029	9922.02	107.05	35.5147
rna-XR_002636864.1	6843	6736.02	755.188	369.039
rna-XR_002636863.1	6857	6750.02	521.951	254.534
rna-XR_002635698.1	5581	5474.02	66	39.6879
rna-XR_002637875.1	1611	1504.02	8.71207	19.0673
rna-XR_002639757.1	803	700.319	17	79.9049
rna-XR_002637404.1	5548	5441.02	0.0091103	0.00551154
rna-XR_002637403.1	5983	5876.02	151.044	84.6136
rna-XR_002638411.1	1032	925.02	15.5026	55.1663
rna-XR_002638407.1	729	626.676	3.01568	15.8403
rna-XR_002639131.1	1047	940.02	5	17.5087
rna-XR_002637017.1	894	788.275	10.2535	42.8167
rna-XR_002637713.1	950	843.196	14	54.6538
rna-XR_002637880.1	796	693.319	3	14.2432
rna-XR_002637799.1	2043	1936.02	6.44673	10.961
rna-XR_002638995.1	4595	4488.02	500.3	366.941
rna-XR_002634943.1	2592	2485.02	50.3035	66.6329
rna-XR_002638063.1	2112	2005.02	2.55327	4.19178
rna-XR_002638876.1	781	678.411	2	9.70416
rna-XR_002637797.1	729	626.676	719	3776.65
rna-XR_002635789.1	2467	2360.02	222.492	310.327
rna-XR_002634753.1	12574	12467	420.774	111.098
rna-XR_002634768.1	11583	11476	167.179	47.9525
rna-XR_002634760.1	11581	11474	205.639	58.9944
rna-XR_002634750.1	11580	11473	228.073	65.436
rna-XR_002634765.1	11580	11473	228.073	65.436
rna-XR_002634752.1	11577	11470	311.173	89.3014
rna-XR_002634754.1	11576	11469	345.132	99.0558
rna-XR_002634762.1	11576	11469	345.132	99.0558
rna-XR_002634766.1	11574	11467	424.585	121.881
rna-XR_002633935.1	431	330.444	7	69.7302
rna-XR_002634061.1	501	400.045	10	82.2834
rna-XR_002639939.1	2258	2151.02	333.384	510.178
rna-XR_002636171.1	1823	1716.02	663	1271.78
rna-XR_002639137.1	2172	2065.02	885.371	1411.31
rna-XR_002639138.1	13744	13637	654.028	157.869
rna-XR_002637000.1	940	833.253	0	0
rna-XR_002635934.1	8203	8096.02	617.341	251
rna-XR_002638094.1	4346	4239.02	6.59869	5.12405
rna-XR_002638095.1	4346	4239.02	6.59869	5.12405
rna-XR_002638091.1	4345	4238.02	8.73343	6.78332
rna-XR_002638093.1	4345	4238.02	8.73343	6.78332
rna-XR_002638097.1	4345	4238.02	8.73343	6.78332
rna-XR_002638090.1	4343	4236.02	15.3012	11.8902
rna-XR_002638096.1	4343	4236.02	15.3012	11.8902
rna-XR_002638679.1	12442	12335	1072.72	286.263
rna-XR_002638671.1	11226	11119	618.449	183.087
rna-XR_002638132.1	668	565.993	10	58.1581
rna-XR_002636687.1	622	520.252	9	56.9442
rna-XR_002638840.1	1814	1707.02	31	59.7784
rna-XR_002638600.1	25571	25464	494.729	63.9531
rna-XR_002635894.1	3468	3361.02	146.145	143.131
rna-XR_002635072.1	2915	2808.02	250.254	293.36
rna-XR_002636555.1	2022	1915.02	20	34.3778
rna-XR_002638364.1	4275	4168.02	1296.58	1023.97
rna-XR_002637425.1	53382	53275	1482.4	91.5928
rna-XR_002637423.1	1528	1421.02	0	0
rna-XR_002637424.1	1524	1417.02	0	0
rna-XR_002637419.1	2114	2007.02	21.5789	35.3915
rna-XR_002637421.1	2114	2007.02	21.5789	35.3915
rna-XR_002636179.1	2869	2762.02	43.529	51.8767
rna-XR_002634989.1	5721	5614.02	107.689	63.142
rna-XR_002634991.1	5721	5614.02	107.689	63.142
rna-XR_002637676.1	1190	1083.02	32	97.26
rna-XR_002639760.1	3442	3335.02	1274.03	1257.48
rna-XR_002637696.1	1358	1251.02	52.9935	139.437
rna-XR_002637764.1	16571	16464	201.12	40.2105
rna-XR_002638213.1	2887	2780.02	39	46.1783
rna-XR_002635759.1	5044	4937.02	261.787	174.544
rna-XR_002635760.1	5047	4940.02	127.213	84.7661
rna-XR_002639528.1	3153	3046.02	114	123.195
rna-XR_002637753.1	41923	41816	1235.07	97.2232
rna-XR_002637752.1	50097	49990	871.803	57.4058
rna-XR_002636558.1	2509	2402.02	194.518	266.566
rna-XR_002635374.1	2792	2685.02	23.1584	28.3911
rna-XR_002638485.1	25118	25011	70.2631	9.24734
rna-XR_002638486.1	25122	25015	58.1058	7.64609
rna-XR_002638487.1	20258	20151	1183.16	193.271
rna-XR_002637599.1	1516	1409.02	1693	3955.13
rna-XR_002637108.1	2570	2463.02	63	84.1964
rna-XR_002638776.1	6414	6307.02	99.3251	51.8389
rna-XR_002634884.1	4828	4721.02	389	271.228
rna-XR_002636369.1	6057	5950.02	13.6262	7.53838
rna-XR_002636373.1	6057	5950.02	13.6262	7.53838
rna-XR_002636376.1	6057	5950.02	13.6262	7.53838
rna-XR_002636377.1	6057	5950.02	13.6262	7.53838
rna-XR_002636378.1	6057	5950.02	13.6262	7.53838
rna-XR_002636379.1	6057	5950.02	13.6262	7.53838
rna-XR_002636380.1	6049	5942.02	21.1893	11.7383
rna-XR_002635791.1	5513	5406.02	72.9124	44.3961
rna-XR_002634844.1	2698	2591.02	36	45.7354
rna-XR_002639408.1	2832	2725.02	31.3083	37.8191
rna-XR_002634095.1	6873	6766.02	519.68	252.827
rna-XR_002634101.1	6873	6766.02	519.68	252.827
rna-XR_002639331.1	4949	4842.02	870.707	591.925
rna-XR_002639328.1	576	474.729	2.74068	19.0035
rna-XR_002637493.1	1981	1874.02	53.3936	93.7856
rna-XR_002639142.1	4052	3945.02	97.8639	81.6571
rna-XR_002639143.1	1776	1669.02	35	69.0283
rna-XR_002639218.1	6249	6142.02	229	122.728
rna-XR_002633990.1	2189	2082.02	184	290.907
rna-XR_002633994.1	13871	13764	1527.21	365.236
rna-XR_002633989.1	1301	1194.02	532	1466.63
rna-XR_002637639.1	1965	1858.02	0	0
rna-XR_002637641.1	2339	2232.02	23	33.9196
rna-XR_002636585.1	3459	3352.02	46.2319	45.4001
rna-XR_002637687.1	23847	23740	422.832	58.6283
rna-XR_002637686.1	20703	20596	240.715	38.4716
rna-XR_002637682.1	20296	20189	530.186	86.4439
rna-XR_002637684.1	14299	14192	0	0
rna-XR_002637685.1	9252	9145.02	0	0
rna-XR_002637688.1	7694	7587.02	70.5254	30.5982
rna-XR_002637683.1	7584	7477.02	229.51	101.04
rna-XR_002637453.1	7631	7524.02	61	26.6871
rna-XR_002637596.1	6923	6816.02	760.527	367.286
rna-XR_002637884.1	1653	1546.02	28	59.6161
rna-XR_002637648.1	1704	1597.02	7	14.4281
rna-XR_002634904.1	2552	2445.02	111.422	150.006
rna-XR_002635937.1	2064	1957.02	18.5296	31.1668
rna-XR_002635938.1	1077	970.02	5.21996	17.7136
rna-XR_002637712.1	3545	3438.02	38.1798	36.5549
rna-XR_002635864.1	820	717.272	113.823	522.359
rna-XR_002639527.1	2722	2615.02	13.1535	16.5573
rna-XR_002638454.1	1701	1594.02	5	10.3252
rna-XR_002636217.1	3079	2972.02	73.8931	81.8414
rna-XR_002636245.1	5545	5438.02	6947	4205.11
rna-XR_002636251.1	3325	3218.02	187.99	192.294
rna-XR_002637871.1	1356	1249.02	141.179	372.067
rna-XR_002638817.1	571	469.761	7.95543	55.7452
rna-XR_002639340.1	1733	1626.02	74	149.805
rna-XR_002636108.1	5480	5373.02	0	0
rna-XR_002636103.1	5686	5579.02	173.083	102.122
rna-XR_002636111.1	6895	6788.02	241.876	117.293
rna-XR_002636110.1	1447	1340.02	37.8255	92.9169
rna-XR_002636102.1	4459	4352.02	99.8377	75.5135
rna-XR_002638676.1	959	852.196	104.182	402.416
rna-XR_002635843.1	1975	1868.02	424.425	747.895
rna-XR_002636610.1	2026	1919.02	26	44.5979
rna-XR_002635080.1	2533	2426.02	72.0502	97.7601
rna-XR_002634898.1	2953	2846.02	64.591	74.7059
rna-XR_002636294.1	2428	2321.02	51.6573	73.2612
rna-XR_002636554.1	2610	2503.02	1027.86	1351.73
rna-XR_002637587.1	1813	1706.02	23	44.3777
rna-XR_002636941.1	6130	6023.02	54.4409	29.7531
rna-XR_002638522.1	1879	1772.02	172	319.507
rna-XR_002638528.1	1438	1331.02	75.8391	187.555
rna-XR_002638527.1	1608	1501.02	50.2694	110.24
rna-XR_002638526.1	4568	4461.02	210.209	155.109
rna-XR_002638523.1	2010	1903.02	0	0
rna-XR_002638303.1	1445	1338.02	0	0
rna-XR_002638302.1	1624	1517.02	58.6411	127.242
rna-XR_002638310.1	723	620.676	14.1827	75.2171
rna-XR_002638309.1	1739	1632.02	58.7437	118.483
rna-XR_002638306.1	1749	1642.02	20.7253	41.5473
rna-XR_002638305.1	4939	4832.02	124.403	84.7468
