mrna_id	n_lncRNAs	GeneID	Symbol	description	type_of_gene	match_type
LOC111107689	1525	NA	NA	NA	NA	NA
LOC111103610	1522	111103610	LOC111103610	uncharacterized LOC111103610	protein-coding	Symbol
LOC111132339	1516	111132339	LOC111132339	uncharacterized LOC111132339	protein-coding	Symbol
LOC111111320	1514	111111320	LOC111111320	heat shock 70 kDa protein 12A-like	protein-coding	Symbol
LOC111105683	1512	111105683	LOC111105683	uncharacterized LOC111105683	protein-coding	Symbol
LOC111126813	1512	111126813	LOC111126813	heat shock 70 kDa protein 12A-like	protein-coding	Symbol
LOC111127923	1510	111127923	LOC111127923	high-affinity choline transporter 1-like	protein-coding	Symbol
LOC111106094	1508	NA	NA	NA	NA	NA
LOC111122566	1507	111122566	LOC111122566	protein O-mannosyl-transferase TMTC1-like	protein-coding	Symbol
LOC111132218	1506	111132218	LOC111132218	uncharacterized LOC111132218	protein-coding	Symbol
LOC111132345	1506	NA	NA	NA	NA	NA
LOC111109495	1504	NA	NA	NA	NA	NA
LOC111111792	1503	NA	NA	NA	NA	NA
LOC111112351	1501	NA	NA	NA	NA	NA
LOC111119012	1501	111119012	LOC111119012	scavenger receptor cysteine-rich domain-containing protein DMBT1-like	protein-coding	Symbol
LOC111120185	1501	NA	NA	NA	NA	NA
LOC111120747	1501	111120747	LOC111120747	transient receptor potential cation channel subfamily A member 1-like	protein-coding	Symbol
LOC111122921	1501	111122921	LOC111122921	uncharacterized LOC111122921	protein-coding	Symbol
LOC111132884	1500	111132884	LOC111132884	chordin-like	protein-coding	Symbol
LOC111104812	1499	111104812	LOC111104812	uncharacterized LOC111104812	protein-coding	Symbol
LOC111124328	1499	NA	NA	NA	NA	NA
LOC111120620	1498	111120620	LOC111120620	glutamate receptor ionotropic, NMDA 2B-like	protein-coding	Symbol
LOC111109230	1496	NA	NA	NA	NA	NA
LOC111110575	1496	NA	NA	NA	NA	NA
LOC111122679	1496	111122679	LOC111122679	uncharacterized LOC111122679	protein-coding	Symbol
LOC111128601	1495	NA	NA	NA	NA	NA
LOC111111289	1494	NA	NA	NA	NA	NA
LOC111132623	1494	111132623	LOC111132623	inositol 1,4,5-trisphosphate-gated calcium channel ITPR2-like	protein-coding	Symbol
LOC111136947	1494	111136947	LOC111136947	neuroligin-4, X-linked-like	protein-coding	Symbol
LOC111129560	1493	NA	NA	NA	NA	NA
LOC111118716	1491	NA	NA	NA	NA	NA
LOC111120136	1491	111120136	LOC111120136	contactin-3-like	protein-coding	Symbol
LOC111121580	1491	111121580	LOC111121580	uncharacterized LOC111121580	protein-coding	Symbol
LOC111123036	1491	NA	NA	NA	NA	NA
LOC111132789	1491	111132789	LOC111132789	uncharacterized LOC111132789	protein-coding	Symbol
LOC111109298	1490	NA	NA	NA	NA	NA
LOC111109370	1489	NA	NA	NA	NA	NA
LOC111128657	1489	111128657	LOC111128657	uncharacterized LOC111128657	protein-coding	Symbol
LOC111128732	1488	111128732	LOC111128732	uncharacterized LOC111128732	protein-coding	Symbol
LOC111107536	1486	111107536	LOC111107536	cadherin EGF LAG seven-pass G-type receptor 2-like	protein-coding	Symbol
LOC111122586	1484	111122586	LOC111122586	uncharacterized LOC111122586	ncRNA	Symbol
LOC111122089	1483	111122089	LOC111122089	cell surface hyaluronidase-like	protein-coding	Symbol
LOC111128774	1483	111128774	LOC111128774	cell surface hyaluronidase CEMIP2-like	protein-coding	Symbol
LOC111120814	1481	111120814	LOC111120814	uncharacterized LOC111120814	protein-coding	Symbol
LOC111109007	1480	NA	NA	NA	NA	NA
LOC111136699	1480	111136699	LOC111136699	neuroligin-4, Y-linked-like	protein-coding	Symbol
LOC111130434	1479	111130434	LOC111130434	voltage-gated delayed rectifier potassium channel KCNH1-like	protein-coding	Symbol
LOC111108808	1477	111108808	LOC111108808	toll-like receptor 1	protein-coding	Symbol
LOC111136116	1477	111136116	LOC111136116	uncharacterized LOC111136116	protein-coding	Symbol
LOC111122008	1476	111122008	LOC111122008	short transient receptor potential channel 7-like	protein-coding	Symbol
LOC111103774	1475	NA	NA	NA	NA	NA
LOC111107775	1475	111107775	LOC111107775	uncharacterized LOC111107775	protein-coding	Symbol
LOC111118062	1475	NA	NA	NA	NA	NA
LOC111125683	1474	NA	NA	NA	NA	NA
LOC111120646	1473	111120646	LOC111120646	cilia- and flagella-associated protein 337-like	protein-coding	Symbol
LOC111112478	1472	111112478	LOC111112478	uncharacterized LOC111112478	protein-coding	Symbol
LOC111113791	1472	NA	NA	NA	NA	NA
LOC111127840	1471	111127840	LOC111127840	uncharacterized LOC111127840	protein-coding	Symbol
LOC111113324	1470	111113324	LOC111113324	uncharacterized LOC111113324	protein-coding	Symbol
LOC111107264	1469	111107264	LOC111107264	uncharacterized LOC111107264	protein-coding	Symbol
LOC111110495	1469	111110495	LOC111110495	beta-1,3-galactosyltransferase 5-like	protein-coding	Symbol
LOC111115753	1469	NA	NA	NA	NA	NA
LOC111121950	1469	NA	NA	NA	NA	NA
LOC111123717	1469	111123717	LOC111123717	uncharacterized LOC111123717	ncRNA	Symbol
LOC111123822	1469	111123822	LOC111123822	uncharacterized LOC111123822	protein-coding	Symbol
LOC111119301	1468	111119301	LOC111119301	uncharacterized LOC111119301	protein-coding	Symbol
LOC111122138	1468	111122138	LOC111122138	delphilin-like	protein-coding	Symbol
LOC111124300	1468	111124300	LOC111124300	uncharacterized LOC111124300	protein-coding	Symbol
LOC111100025	1467	111100025	LOC111100025	A disintegrin and metalloproteinase with thrombospondin motifs 18-like	protein-coding	Symbol
LOC111133093	1467	111133093	LOC111133093	uncharacterized LOC111133093	protein-coding	Symbol
LOC111105682	1466	111105682	LOC111105682	uncharacterized LOC111105682	protein-coding	Symbol
LOC111131739	1466	111131739	LOC111131739	transmembrane protein 179B-like	protein-coding	Symbol
LOC111099418	1465	NA	NA	NA	NA	NA
LOC111108603	1464	111108603	LOC111108603	uncharacterized LOC111108603	protein-coding	Symbol
LOC111116234	1463	NA	NA	NA	NA	NA
LOC111133868	1463	111133868	LOC111133868	protocadherin-23-like	protein-coding	Symbol
LOC111109148	1462	NA	NA	NA	NA	NA
LOC111109176	1462	111109176	LOC111109176	uncharacterized LOC111109176	protein-coding	Symbol
LOC111113936	1462	NA	NA	NA	NA	NA
LOC111118817	1462	111118817	LOC111118817	uncharacterized LOC111118817	protein-coding	Symbol
LOC111135463	1462	111135463	LOC111135463	uncharacterized LOC111135463	protein-coding	Symbol
LOC111112322	1461	NA	NA	NA	NA	NA
LOC111120254	1461	NA	NA	NA	NA	NA
LOC111120448	1461	NA	NA	NA	NA	NA
LOC111124199	1461	NA	NA	NA	NA	NA
LOC111116848	1460	111116848	LOC111116848	uncharacterized LOC111116848	protein-coding	Symbol
LOC111129709	1460	111129709	LOC111129709	uncharacterized LOC111129709	protein-coding	Symbol
LOC111119542	1459	111119542	LOC111119542	uncharacterized LOC111119542	protein-coding	Symbol
LOC111105325	1458	111105325	LOC111105325	uncharacterized LOC111105325	protein-coding	Symbol
LOC111125720	1458	111125720	LOC111125720	von Willebrand factor D and EGF domain-containing protein-like	protein-coding	Symbol
LOC111128465	1458	111128465	LOC111128465	BDNF/NT-3 growth factors receptor-like	protein-coding	Symbol
LOC111131254	1458	111131254	LOC111131254	uncharacterized LOC111131254	protein-coding	Symbol
LOC111124346	1457	NA	NA	NA	NA	NA
LOC111114170	1455	111114170	LOC111114170	cubilin-like	protein-coding	Symbol
LOC111131306	1454	111131306	LOC111131306	ectonucleoside triphosphate diphosphohydrolase 1-like	protein-coding	Symbol
LOC111108341	1450	111108341	LOC111108341	uncharacterized LOC111108341	protein-coding	Symbol
LOC111120616	1450	111120616	LOC111120616	polycystin-1-like	protein-coding	Symbol
LOC111123956	1449	111123956	LOC111123956	uncharacterized LOC111123956	protein-coding	Symbol
LOC111128733	1449	111128733	LOC111128733	uncharacterized LOC111128733	protein-coding	Symbol
LOC111099151	1448	111099151	LOC111099151	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like	protein-coding	Symbol
LOC111134137	1448	111134137	LOC111134137	uncharacterized LOC111134137	protein-coding	Symbol
LOC111108340	1447	111108340	LOC111108340	uncharacterized LOC111108340	protein-coding	Symbol
LOC111109074	1447	NA	NA	NA	NA	NA
LOC111133547	1447	111133547	LOC111133547	receptor for retinol uptake stra6-like	protein-coding	Symbol
LOC111104208	1446	NA	NA	NA	NA	NA
LOC111125430	1446	111125430	LOC111125430	uncharacterized LOC111125430	protein-coding	Symbol
LOC111109177	1445	111109177	LOC111109177	uncharacterized LOC111109177	protein-coding	Symbol
LOC111127101	1445	NA	NA	NA	NA	NA
LOC111130256	1445	111130256	LOC111130256	acetylcholine receptor subunit beta-like 1	protein-coding	Symbol
LOC111101953	1444	NA	NA	NA	NA	NA
LOC111119566	1443	111119566	LOC111119566	uncharacterized LOC111119566	protein-coding	Symbol
LOC111106598	1442	111106598	LOC111106598	uncharacterized LOC111106598	protein-coding	Symbol
LOC111106860	1442	NA	NA	NA	NA	NA
LOC111113959	1442	NA	NA	NA	NA	NA
LOC111099450	1440	111099450	LOC111099450	uncharacterized LOC111099450	protein-coding	Symbol
LOC111113189	1439	111113189	LOC111113189	uncharacterized LOC111113189	protein-coding	Symbol
LOC111108110	1437	111108110	LOC111108110	calcium-activated chloride channel regulator 1-like	protein-coding	Symbol
LOC111118229	1437	111118229	LOC111118229	uncharacterized LOC111118229	protein-coding	Symbol
LOC111112483	1436	111112483	LOC111112483	uncharacterized LOC111112483	pseudo	Symbol
LOC111118881	1436	111118881	LOC111118881	uncharacterized LOC111118881	protein-coding	Symbol
LOC111119080	1436	111119080	LOC111119080	uncharacterized LOC111119080	protein-coding	Symbol
LOC111132784	1435	NA	NA	NA	NA	NA
LOC111100946	1433	NA	NA	NA	NA	NA
LOC111128763	1433	111128763	LOC111128763	uncharacterized LOC111128763	protein-coding	Symbol
LOC111132219	1433	111132219	LOC111132219	uncharacterized LOC111132219	protein-coding	Symbol
LOC111132887	1433	111132887	LOC111132887	uncharacterized LOC111132887	protein-coding	Symbol
LOC111123258	1432	111123258	LOC111123258	uncharacterized LOC111123258	protein-coding	Symbol
LOC111123554	1432	111123554	LOC111123554	serine/threonine-protein phosphatase with EF-hands 1-like	protein-coding	Symbol
LOC111128690	1432	111128690	LOC111128690	uncharacterized LOC111128690	protein-coding	Symbol
LOC111114317	1431	NA	NA	NA	NA	NA
LOC111119997	1430	111119997	LOC111119997	uncharacterized LOC111119997	protein-coding	Symbol
LOC111135831	1430	111135831	LOC111135831	putative transporter YutK	protein-coding	Symbol
LOC111118160	1429	111118160	LOC111118160	uncharacterized LOC111118160	protein-coding	Symbol
LOC111106522	1428	111106522	LOC111106522	uncharacterized LOC111106522	protein-coding	Symbol
LOC111108854	1428	NA	NA	NA	NA	NA
LOC111113888	1428	NA	NA	NA	NA	NA
LOC111121507	1428	NA	NA	NA	NA	NA
LOC111132110	1428	111132110	LOC111132110	multidrug resistance-associated protein 1-like	protein-coding	Symbol
LOC111119173	1427	111119173	LOC111119173	uncharacterized LOC111119173	protein-coding	Symbol
LOC111128950	1427	111128950	LOC111128950	uncharacterized LOC111128950	protein-coding	Symbol
LOC111105252	1426	111105252	LOC111105252	uncharacterized LOC111105252	protein-coding	Symbol
LOC111118732	1425	111118732	LOC111118732	meiosis inhibitor protein 1-like	protein-coding	Symbol
LOC111125953	1425	111125953	LOC111125953	receptor-type tyrosine-protein phosphatase alpha-like	protein-coding	Symbol
LOC111124194	1424	111124194	LOC111124194	contactin-5-like	protein-coding	Symbol
LOC111118111	1423	111118111	LOC111118111	uncharacterized LOC111118111	protein-coding	Symbol
LOC111132569	1423	111132569	LOC111132569	SCO-spondin-like	protein-coding	Symbol
LOC111134403	1423	111134403	LOC111134403	uncharacterized LOC111134403	protein-coding	Symbol
LOC111115708	1422	111115708	LOC111115708	uncharacterized LOC111115708	protein-coding	Symbol
LOC111130525	1422	111130525	LOC111130525	uncharacterized LOC111130525	protein-coding	Symbol
LOC111117727	1421	111117727	LOC111117727	uncharacterized LOC111117727	protein-coding	Symbol
LOC111121935	1421	111121935	LOC111121935	uncharacterized LOC111121935	protein-coding	Symbol
LOC111101620	1420	111101620	LOC111101620	uncharacterized LOC111101620	protein-coding	Symbol
LOC111111740	1420	111111740	LOC111111740	sodium-dependent glucose transporter 1A-like	protein-coding	Symbol
LOC111114021	1419	111114021	LOC111114021	glycylpeptide N-tetradecanoyltransferase 2-like	protein-coding	Symbol
LOC111114716	1419	NA	NA	NA	NA	NA
LOC111130721	1419	NA	NA	NA	NA	NA
LOC111108874	1418	NA	NA	NA	NA	NA
LOC111111009	1418	NA	NA	NA	NA	NA
LOC111112300	1418	111112300	LOC111112300	receptor-type tyrosine-protein phosphatase epsilon-like	protein-coding	Symbol
LOC111129010	1418	111129010	LOC111129010	uncharacterized LOC111129010	protein-coding	Symbol
LOC111129057	1418	111129057	LOC111129057	serine/threonine-protein kinase BRSK2-like	protein-coding	Symbol
LOC111130027	1418	111130027	LOC111130027	adhesion G-protein coupled receptor V1-like	protein-coding	Symbol
LOC111125944	1417	111125944	LOC111125944	uncharacterized LOC111125944	protein-coding	Symbol
LOC111113850	1416	111113850	LOC111113850	uncharacterized LOC111113850	protein-coding	Symbol
LOC111132529	1416	111132529	LOC111132529	transmembrane protein 26-like	protein-coding	Symbol
LOC111134217	1416	111134217	LOC111134217	WD repeat-containing protein 11-like	protein-coding	Symbol
LOC111104069	1415	NA	NA	NA	NA	NA
LOC111124266	1415	NA	NA	NA	NA	NA
LOC111129554	1415	111129554	LOC111129554	uncharacterized LOC111129554	protein-coding	Symbol
LOC111134955	1415	111134955	LOC111134955	mucolipin-3-like	protein-coding	Symbol
LOC111125717	1414	NA	NA	NA	NA	NA
LOC111133229	1414	111133229	LOC111133229	kinesin-like protein KIF12	protein-coding	Symbol
LOC111123972	1413	111123972	LOC111123972	E3 ubiquitin-protein ligase TRIM56-like	protein-coding	Symbol
LOC111119607	1412	111119607	LOC111119607	allatostatin-A receptor-like	protein-coding	Symbol
LOC111120348	1412	111120348	LOC111120348	uncharacterized LOC111120348	protein-coding	Symbol
LOC111112656	1411	NA	NA	NA	NA	NA
LOC111114141	1411	111114141	LOC111114141	uncharacterized LOC111114141	pseudo	Symbol
LOC111126720	1411	111126720	LOC111126720	uncharacterized LOC111126720	protein-coding	Symbol
LOC111104547	1409	NA	NA	NA	NA	NA
LOC111112691	1409	NA	NA	NA	NA	NA
LOC111113172	1409	111113172	LOC111113172	death domain-containing protein 1-like	protein-coding	Symbol
LOC111135334	1409	111135334	LOC111135334	steroid 17-alpha-hydroxylase/17,20 lyase-like	protein-coding	Symbol
LOC111114747	1408	111114747	LOC111114747	uncharacterized LOC111114747	protein-coding	Symbol
LOC111130991	1408	111130991	LOC111130991	uncharacterized LOC111130991	protein-coding	Symbol
LOC111134239	1408	111134239	LOC111134239	basic immunoglobulin-like variable motif-containing protein	protein-coding	Symbol
LOC111108887	1407	111108887	LOC111108887	uncharacterized LOC111108887	protein-coding	Symbol
LOC111119200	1407	NA	NA	NA	NA	NA
LOC111128730	1407	111128730	LOC111128730	uncharacterized LOC111128730	protein-coding	Symbol
LOC111131329	1407	NA	NA	NA	NA	NA
LOC111123442	1406	111123442	LOC111123442	uncharacterized LOC111123442	ncRNA	Symbol
LOC111101969	1405	111101969	LOC111101969	uncharacterized LOC111101969	protein-coding	Symbol
LOC111128678	1405	111128678	LOC111128678	uncharacterized LOC111128678	protein-coding	Symbol
LOC111132461	1405	NA	NA	NA	NA	NA
LOC111136892	1405	111136892	LOC111136892	monocarboxylate transporter 12-B-like	protein-coding	Symbol
LOC111101893	1404	111101893	LOC111101893	uncharacterized LOC111101893	protein-coding	Symbol
LOC111123602	1404	NA	NA	NA	NA	NA
LOC111129263	1404	111129263	LOC111129263	acid-sensing ion channel 4-like	protein-coding	Symbol
LOC111108361	1403	111108361	LOC111108361	FMRFamide receptor-like	protein-coding	Symbol
LOC111120298	1403	NA	NA	NA	NA	NA
LOC111135843	1403	111135843	LOC111135843	neuronal acetylcholine receptor subunit alpha-10-like	protein-coding	Symbol
LOC111119692	1402	111119692	LOC111119692	coiled-coil domain-containing protein 33-like	protein-coding	Symbol
LOC111137184	1402	111137184	LOC111137184	uncharacterized LOC111137184	protein-coding	Symbol
LOC111103695	1401	NA	NA	NA	NA	NA
LOC111106618	1400	111106618	LOC111106618	protein pigeon-like	protein-coding	Symbol
LOC111123859	1400	111123859	LOC111123859	uncharacterized LOC111123859	protein-coding	Symbol
LOC111134604	1400	111134604	LOC111134604	uncharacterized LOC111134604	protein-coding	Symbol
LOC111136039	1399	111136039	LOC111136039	serine/threonine-protein phosphatase PP1-gamma catalytic subunit B	protein-coding	Symbol
LOC111100586	1398	111100586	LOC111100586	chitin synthase chs-2-like	protein-coding	Symbol
LOC111101170	1398	111101170	LOC111101170	uncharacterized LOC111101170	protein-coding	Symbol
LOC111106019	1397	111106019	LOC111106019	uncharacterized LOC111106019	protein-coding	Symbol
LOC111120020	1397	111120020	LOC111120020	polycystin family receptor for egg jelly-like	protein-coding	Symbol
LOC111106665	1396	NA	NA	NA	NA	NA
LOC111123440	1394	NA	NA	NA	NA	NA
LOC111108204	1393	111108204	LOC111108204	uncharacterized LOC111108204	protein-coding	Symbol
LOC111110884	1392	NA	NA	NA	NA	NA
LOC111114361	1392	NA	NA	NA	NA	NA
LOC111122130	1392	111122130	LOC111122130	polycystin family receptor for egg jelly-like	protein-coding	Symbol
LOC111134678	1392	111134678	LOC111134678	uncharacterized LOC111134678	protein-coding	Symbol
LOC111136638	1392	111136638	LOC111136638	echinoderm microtubule-associated protein-like 2	protein-coding	Symbol
LOC111107804	1391	111107804	LOC111107804	uncharacterized LOC111107804	protein-coding	Symbol
LOC111114937	1391	NA	NA	NA	NA	NA
LOC111118373	1390	111118373	LOC111118373	uncharacterized LOC111118373	protein-coding	Symbol
LOC111120665	1390	111120665	LOC111120665	SCO-spondin-like	protein-coding	Symbol
LOC111099917	1388	111099917	LOC111099917	uncharacterized LOC111099917	protein-coding	Symbol
LOC111104147	1388	111104147	LOC111104147	uncharacterized LOC111104147	protein-coding	Symbol
LOC111109067	1388	NA	NA	NA	NA	NA
LOC111116333	1388	111116333	LOC111116333	3'-5' RNA nuclease TATDN2-like	protein-coding	Symbol
LOC111118861	1388	NA	NA	NA	NA	NA
LOC111124055	1388	111124055	LOC111124055	uncharacterized LOC111124055	protein-coding	Symbol
LOC111129820	1388	111129820	LOC111129820	serine/arginine-rich splicing factor 4-like	protein-coding	Symbol
LOC111134562	1388	111134562	LOC111134562	deacetylase Oant_2987-like	protein-coding	Symbol
LOC111131377	1387	111131377	LOC111131377	MAM and LDL-receptor class A domain-containing protein 1-like	protein-coding	Symbol
LOC111107995	1386	111107995	LOC111107995	serine/threonine-protein kinase pim-3-like	protein-coding	Symbol
LOC111111606	1384	111111606	LOC111111606	adipokinetic hormone/corazonin-related peptide receptor variant I-like	protein-coding	Symbol
LOC111102821	1383	111102821	LOC111102821	uncharacterized LOC111102821	protein-coding	Symbol
LOC111119780	1383	111119780	LOC111119780	uncharacterized LOC111119780	protein-coding	Symbol
LOC111127024	1383	111127024	LOC111127024	uncharacterized LOC111127024	protein-coding	Symbol
LOC111130384	1383	111130384	LOC111130384	lachesin-like	protein-coding	Symbol
LOC111132826	1383	111132826	LOC111132826	A disintegrin and metalloproteinase with thrombospondin motifs 18-like	protein-coding	Symbol
LOC111133607	1383	111133607	LOC111133607	E3 ubiquitin-protein ligase znrf2-like	protein-coding	Symbol
LOC111135173	1383	111135173	LOC111135173	ceramide glucosyltransferase-like	protein-coding	Symbol
LOC111101951	1382	111101951	LOC111101951	uncharacterized LOC111101951	pseudo	Symbol
LOC111102476	1382	NA	NA	NA	NA	NA
LOC111109044	1382	NA	NA	NA	NA	NA
LOC111109258	1382	111109258	LOC111109258	uncharacterized LOC111109258	protein-coding	Symbol
LOC111122939	1382	NA	NA	NA	NA	NA
LOC111123374	1382	111123374	LOC111123374	uncharacterized LOC111123374	protein-coding	Symbol
LOC111123969	1382	111123969	LOC111123969	solute carrier family 25 member 43-like	protein-coding	Symbol
LOC111133367	1382	111133367	LOC111133367	uncharacterized LOC111133367	ncRNA	Symbol
LOC111109146	1381	NA	NA	NA	NA	NA
LOC111113572	1381	111113572	LOC111113572	uncharacterized LOC111113572	protein-coding	Symbol
LOC111119123	1381	111119123	LOC111119123	histone H3.3A	protein-coding	Symbol
LOC111131279	1381	111131279	LOC111131279	integrase/recombinase xerD homolog	protein-coding	Symbol
LOC111132891	1381	111132891	LOC111132891	uncharacterized LOC111132891	protein-coding	Symbol
LOC111135411	1381	111135411	LOC111135411	E3 ubiquitin-protein ligase MYLIP-like	protein-coding	Symbol
LOC111138390	1381	111138390	LOC111138390	uncharacterized LOC111138390	protein-coding	Symbol
LOC111108039	1380	NA	NA	NA	NA	NA
LOC111124428	1379	111124428	LOC111124428	uncharacterized LOC111124428	protein-coding	Symbol
LOC111125350	1379	111125350	LOC111125350	uncharacterized LOC111125350	protein-coding	Symbol
LOC111127161	1379	111127161	LOC111127161	low-density lipoprotein receptor-related protein 2-like	protein-coding	Symbol
LOC111129360	1378	NA	NA	NA	NA	NA
LOC111136077	1378	111136077	LOC111136077	uncharacterized LOC111136077	protein-coding	Symbol
LOC111129693	1377	111129693	LOC111129693	regulating synaptic membrane exocytosis protein 2-like	protein-coding	Symbol
LOC111126163	1376	111126163	LOC111126163	histone H2A-like	protein-coding	Symbol
LOC111133657	1376	111133657	LOC111133657	large neutral amino acids transporter small subunit 2-like	protein-coding	Symbol
LOC111129309	1375	111129309	LOC111129309	uncharacterized LOC111129309	protein-coding	Symbol
LOC111104317	1374	111104317	LOC111104317	uncharacterized LOC111104317	pseudo	Symbol
LOC111107740	1374	NA	NA	NA	NA	NA
LOC111131125	1374	111131125	LOC111131125	uncharacterized LOC111131125	pseudo	Symbol
LOC111101634	1371	NA	NA	NA	NA	NA
LOC111112582	1371	111112582	LOC111112582	uncharacterized LOC111112582	protein-coding	Symbol
LOC111132595	1371	111132595	LOC111132595	uncharacterized LOC111132595	protein-coding	Symbol
LOC111109354	1370	NA	NA	NA	NA	NA
LOC111119850	1370	111119850	LOC111119850	lysosomal alpha-mannosidase-like	protein-coding	Symbol
LOC111106235	1369	111106235	LOC111106235	uncharacterized LOC111106235	protein-coding	Symbol
LOC111102082	1368	NA	NA	NA	NA	NA
LOC111106891	1368	111106891	LOC111106891	uncharacterized LOC111106891	pseudo	Symbol
LOC111125762	1368	NA	NA	NA	NA	NA
LOC111126226	1368	111126226	LOC111126226	high mobility group protein DSP1-like	protein-coding	Symbol
LOC111133302	1368	111133302	LOC111133302	uncharacterized LOC111133302	protein-coding	Symbol
LOC111112116	1367	NA	NA	NA	NA	NA
LOC111112803	1367	111112803	LOC111112803	uncharacterized LOC111112803	protein-coding	Symbol
LOC111120346	1367	111120346	LOC111120346	uncharacterized LOC111120346	protein-coding	Symbol
LOC111134146	1367	111134146	LOC111134146	cdc42 homolog	protein-coding	Symbol
ATP6	1365	NA	NA	NA	NA	NA
LOC111103502	1365	111103502	LOC111103502	SIN3-HDAC complex-associated factor-like	protein-coding	Symbol
LOC111109159	1365	111109159	LOC111109159	uncharacterized LOC111109159	protein-coding	Symbol
LOC111114568	1365	111114568	LOC111114568	uncharacterized LOC111114568	protein-coding	Symbol
LOC111107554	1364	111107554	LOC111107554	uncharacterized LOC111107554	protein-coding	Symbol
LOC111118729	1364	111118729	LOC111118729	uncharacterized LOC111118729	protein-coding	Symbol
LOC111119217	1364	111119217	LOC111119217	uncharacterized LOC111119217	protein-coding	Symbol
LOC111136440	1364	111136440	LOC111136440	serine/arginine-rich splicing factor 1A-like	protein-coding	Symbol
LOC111124133	1363	111124133	LOC111124133	uncharacterized LOC111124133	protein-coding	Symbol
LOC111099969	1362	NA	NA	NA	NA	NA
LOC111120702	1362	111120702	LOC111120702	UPAR/Ly6 domain-containing protein crok-like	protein-coding	Symbol
LOC111124111	1362	111124111	LOC111124111	collagen alpha-3(VI) chain-like	protein-coding	Symbol
LOC111127841	1362	111127841	LOC111127841	SCO-spondin-like	protein-coding	Symbol
LOC111134947	1362	111134947	LOC111134947	gastric triacylglycerol lipase-like	protein-coding	Symbol
LOC111101736	1361	111101736	LOC111101736	uncharacterized LOC111101736	protein-coding	Symbol
LOC111116449	1361	NA	NA	NA	NA	NA
LOC111121835	1361	111121835	LOC111121835	histone H2A	protein-coding	Symbol
LOC111123989	1361	111123989	LOC111123989	uncharacterized LOC111123989	protein-coding	Symbol
LOC111124929	1361	111124929	LOC111124929	glycogen synthase kinase-3 beta-like	protein-coding	Symbol
LOC111125773	1361	111125773	LOC111125773	protein tyrosine phosphatase type IVA 2-like	protein-coding	Symbol
LOC111128282	1361	111128282	LOC111128282	alpha-mannosidase 2-like	protein-coding	Symbol
LOC111128951	1361	111128951	LOC111128951	histone H2A	protein-coding	Symbol
LOC111137294	1361	111137294	LOC111137294	uncharacterized LOC111137294	protein-coding	Symbol
LOC111100630	1360	111100630	LOC111100630	putative sodium/potassium-transporting ATPase subunit beta-3	protein-coding	Symbol
LOC111100985	1360	111100985	LOC111100985	uncharacterized LOC111100985	protein-coding	Symbol
LOC111108187	1360	111108187	LOC111108187	chromobox protein homolog 1-like	protein-coding	Symbol
LOC111111398	1360	NA	NA	NA	NA	NA
LOC111122860	1360	111122860	LOC111122860	G2/mitotic-specific cyclin-A-like	protein-coding	Symbol
LOC111124059	1360	111124059	LOC111124059	uncharacterized LOC111124059	protein-coding	Symbol
LOC111136938	1360	111136938	LOC111136938	guanine nucleotide-binding protein subunit beta	protein-coding	Symbol
LOC111100158	1359	111100158	LOC111100158	polyubiquitin-like	protein-coding	Symbol
LOC111103885	1359	111103885	LOC111103885	chloride intracellular channel Clic-like	protein-coding	Symbol
LOC111103570	1358	111103570	LOC111103570	uncharacterized LOC111103570	protein-coding	Symbol
LOC111126056	1358	111126056	LOC111126056	uncharacterized LOC111126056	protein-coding	Symbol
LOC111127026	1358	111127026	LOC111127026	bromodomain-containing protein 2-like	protein-coding	Symbol
LOC111123982	1357	111123982	LOC111123982	ATP-binding cassette sub-family C member 4-like	protein-coding	Symbol
LOC111100423	1356	111100423	LOC111100423	organic cation transporter protein-like	protein-coding	Symbol
LOC111125150	1356	111125150	LOC111125150	uncharacterized LOC111125150	protein-coding	Symbol
LOC111131007	1356	111131007	LOC111131007	YTH domain-containing family protein 1-like	protein-coding	Symbol
LOC111124375	1355	111124375	LOC111124375	guanylate cyclase soluble subunit alpha-2-like	protein-coding	Symbol
LOC111129699	1355	NA	NA	NA	NA	NA
LOC111136907	1355	111136907	LOC111136907	uncharacterized LOC111136907	protein-coding	Symbol
LOC111108064	1354	111108064	LOC111108064	potassium voltage-gated channel protein Shal-like	protein-coding	Symbol
LOC111112790	1354	111112790	LOC111112790	protein white-like	protein-coding	Symbol
LOC111125574	1354	111125574	LOC111125574	small ubiquitin-related modifier 2-like	protein-coding	Symbol
LOC111112436	1353	NA	NA	NA	NA	NA
LOC111123708	1353	NA	NA	NA	NA	NA
LOC111123709	1353	NA	NA	NA	NA	NA
LOC111114779	1352	111114779	LOC111114779	protein white-like	protein-coding	Symbol
LOC111116710	1352	111116710	LOC111116710	glutamyl aminopeptidase-like	protein-coding	Symbol
LOC111120380	1352	NA	NA	NA	NA	NA
LOC111120490	1352	111120490	LOC111120490	uncharacterized LOC111120490	protein-coding	Symbol
LOC111130961	1352	111130961	LOC111130961	protein madd-4-like	protein-coding	Symbol
LOC111131322	1352	NA	NA	NA	NA	NA
LOC111106178	1351	111106178	LOC111106178	uncharacterized LOC111106178	protein-coding	Symbol
