mrna_id	mrna_id_clean	GeneID	Symbol	description	type_of_gene	match_type
ATP6	ATP6	NA	NA	NA	NA	NA
COX1	COX1	NA	NA	NA	NA	NA
COX2	COX2	NA	NA	NA	NA	NA
COX3	COX3	NA	NA	NA	NA	NA
CYTB	CYTB	NA	NA	NA	NA	NA
LOC111099029	LOC111099029	111099029	LOC111099029	transient receptor potential cation channel subfamily M member-like 2	protein-coding	Symbol
LOC111099030	LOC111099030	111099030	LOC111099030	uncharacterized LOC111099030	ncRNA	Symbol
LOC111099031	LOC111099031	NA	NA	NA	NA	NA
LOC111099032	LOC111099032	111099032	LOC111099032	uncharacterized LOC111099032	protein-coding	Symbol
LOC111099033	LOC111099033	NA	NA	NA	NA	NA
LOC111099034	LOC111099034	NA	NA	NA	NA	NA
LOC111099035	LOC111099035	NA	NA	NA	NA	NA
LOC111099036	LOC111099036	NA	NA	NA	NA	NA
LOC111099037	LOC111099037	111099037	LOC111099037	uncharacterized LOC111099037	protein-coding	Symbol
LOC111099039	LOC111099039	111099039	LOC111099039	uncharacterized LOC111099039	protein-coding	Symbol
LOC111099040	LOC111099040	111099040	LOC111099040	uncharacterized LOC111099040	protein-coding	Symbol
LOC111099041	LOC111099041	111099041	LOC111099041	proton-coupled folate transporter-like	protein-coding	Symbol
LOC111099043	LOC111099043	111099043	LOC111099043	uncharacterized LOC111099043	protein-coding	Symbol
LOC111099044	LOC111099044	111099044	LOC111099044	uncharacterized LOC111099044	protein-coding	Symbol
LOC111099045	LOC111099045	NA	NA	NA	NA	NA
LOC111099046	LOC111099046	111099046	LOC111099046	uncharacterized LOC111099046	protein-coding	Symbol
LOC111099047	LOC111099047	NA	NA	NA	NA	NA
LOC111099048	LOC111099048	111099048	LOC111099048	apolipoprotein D-like	protein-coding	Symbol
LOC111099049	LOC111099049	111099049	LOC111099049	uncharacterized LOC111099049	protein-coding	Symbol
LOC111099050	LOC111099050	111099050	LOC111099050	amyloid protein-binding protein 2-like	protein-coding	Symbol
LOC111099052	LOC111099052	NA	NA	NA	NA	NA
LOC111099053	LOC111099053	111099053	LOC111099053	eukaryotic translation initiation factor 2 subunit 2-like	protein-coding	Symbol
LOC111099054	LOC111099054	111099054	LOC111099054	uncharacterized LOC111099054	protein-coding	Symbol
LOC111099055	LOC111099055	NA	NA	NA	NA	NA
LOC111099056	LOC111099056	111099056	LOC111099056	tRNA (uracil-5-)-methyltransferase homolog A-like	protein-coding	Symbol
LOC111099057	LOC111099057	NA	NA	NA	NA	NA
LOC111099058	LOC111099058	111099058	LOC111099058	G-protein coupled receptor 157-like	protein-coding	Symbol
LOC111099059	LOC111099059	111099059	LOC111099059	G-protein coupled receptor 157-like	protein-coding	Symbol
LOC111099060	LOC111099060	111099060	LOC111099060	uncharacterized LOC111099060	protein-coding	Symbol
LOC111099061	LOC111099061	111099061	LOC111099061	uncharacterized LOC111099061	protein-coding	Symbol
LOC111099062	LOC111099062	NA	NA	NA	NA	NA
LOC111099063	LOC111099063	111099063	LOC111099063	RING-type E3 ubiquitin-protein ligase PPIL2-like	protein-coding	Symbol
LOC111099064	LOC111099064	111099064	LOC111099064	uridylate-specific endoribonuclease D-like	protein-coding	Symbol
LOC111099066	LOC111099066	111099066	LOC111099066	demethylmenaquinone methyltransferase-like	protein-coding	Symbol
LOC111099067	LOC111099067	111099067	LOC111099067	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3-like	protein-coding	Symbol
LOC111099068	LOC111099068	111099068	LOC111099068	protein unc-93 homolog A-like	protein-coding	Symbol
LOC111099069	LOC111099069	NA	NA	NA	NA	NA
LOC111099070	LOC111099070	111099070	LOC111099070	solute carrier family 22 member 4-like	protein-coding	Symbol
LOC111099071	LOC111099071	111099071	LOC111099071	uncharacterized LOC111099071	protein-coding	Symbol
LOC111099072	LOC111099072	111099072	LOC111099072	solute carrier family 22 member 6-A-like	protein-coding	Symbol
LOC111099073	LOC111099073	111099073	LOC111099073	BRCA1-associated protein-like	protein-coding	Symbol
LOC111099074	LOC111099074	NA	NA	NA	NA	NA
LOC111099076	LOC111099076	111099076	LOC111099076	uncharacterized LOC111099076	protein-coding	Symbol
LOC111099077	LOC111099077	111099077	LOC111099077	uncharacterized LOC111099077	protein-coding	Symbol
LOC111099078	LOC111099078	NA	NA	NA	NA	NA
LOC111099079	LOC111099079	111099079	LOC111099079	speckle targeted PIP5K1A-regulated poly(A) polymerase-like	protein-coding	Symbol
LOC111099080	LOC111099080	111099080	LOC111099080	PR domain zinc finger protein 14-like	protein-coding	Symbol
LOC111099081	LOC111099081	111099081	LOC111099081	grpE protein homolog 1, mitochondrial-like	protein-coding	Symbol
LOC111099082	LOC111099082	NA	NA	NA	NA	NA
LOC111099083	LOC111099083	NA	NA	NA	NA	NA
LOC111099084	LOC111099084	111099084	LOC111099084	uncharacterized LOC111099084	protein-coding	Symbol
LOC111099087	LOC111099087	111099087	LOC111099087	transient receptor potential cation channel subfamily M member 2-like	protein-coding	Symbol
LOC111099088	LOC111099088	111099088	LOC111099088	uncharacterized LOC111099088	protein-coding	Symbol
LOC111099090	LOC111099090	111099090	LOC111099090	uncharacterized LOC111099090	protein-coding	Symbol
LOC111099091	LOC111099091	111099091	LOC111099091	uncharacterized LOC111099091	protein-coding	Symbol
LOC111099092	LOC111099092	NA	NA	NA	NA	NA
LOC111099093	LOC111099093	111099093	LOC111099093	cilia- and flagella-associated protein 263-like	protein-coding	Symbol
LOC111099095	LOC111099095	111099095	LOC111099095	uncharacterized LOC111099095	protein-coding	Symbol
LOC111099096	LOC111099096	111099096	LOC111099096	cysteine-rich venom protein latisemin-like	protein-coding	Symbol
LOC111099097	LOC111099097	NA	NA	NA	NA	NA
LOC111099098	LOC111099098	111099098	LOC111099098	uncharacterized LOC111099098	protein-coding	Symbol
LOC111099099	LOC111099099	111099099	LOC111099099	G-protein coupled receptor dmsr-1-like	protein-coding	Symbol
LOC111099101	LOC111099101	111099101	LOC111099101	serine/threonine-protein kinase unc-51-like	protein-coding	Symbol
LOC111099102	LOC111099102	111099102	LOC111099102	protein FAM76A-like	protein-coding	Symbol
LOC111099103	LOC111099103	111099103	LOC111099103	sodium- and chloride-dependent glycine transporter 1-like	protein-coding	Symbol
LOC111099104	LOC111099104	111099104	LOC111099104	uncharacterized LOC111099104	protein-coding	Symbol
LOC111099105	LOC111099105	111099105	LOC111099105	beta-1,3-glucosyltransferase-like	protein-coding	Symbol
LOC111099106	LOC111099106	111099106	LOC111099106	exonuclease V-like	protein-coding	Symbol
LOC111099107	LOC111099107	111099107	LOC111099107	uncharacterized LOC111099107	protein-coding	Symbol
LOC111099108	LOC111099108	111099108	LOC111099108	uncharacterized LOC111099108	protein-coding	Symbol
LOC111099109	LOC111099109	111099109	LOC111099109	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	protein-coding	Symbol
LOC111099110	LOC111099110	111099110	LOC111099110	dual specificity protein phosphatase 3-like	protein-coding	Symbol
LOC111099111	LOC111099111	111099111	LOC111099111	refilin-B-like	protein-coding	Symbol
LOC111099112	LOC111099112	111099112	LOC111099112	CBY1-interacting BAR domain-containing protein 2-like	protein-coding	Symbol
LOC111099115	LOC111099115	111099115	LOC111099115	GPI-anchor transamidase component PIGT-like	protein-coding	Symbol
LOC111099116	LOC111099116	NA	NA	NA	NA	NA
LOC111099117	LOC111099117	111099117	LOC111099117	uncharacterized LOC111099117	protein-coding	Symbol
LOC111099118	LOC111099118	111099118	LOC111099118	short-chain dehydrogenase/reductase family 9C member 7-like	protein-coding	Symbol
LOC111099119	LOC111099119	111099119	LOC111099119	uncharacterized LOC111099119	protein-coding	Symbol
LOC111099120	LOC111099120	111099120	LOC111099120	neuroglobin-like	protein-coding	Symbol
LOC111099121	LOC111099121	111099121	LOC111099121	uncharacterized LOC111099121	protein-coding	Symbol
LOC111099122	LOC111099122	111099122	LOC111099122	derlin-1-like	protein-coding	Symbol
LOC111099123	LOC111099123	111099123	LOC111099123	condensin complex subunit 2-like	protein-coding	Symbol
LOC111099124	LOC111099124	111099124	LOC111099124	uncharacterized LOC111099124	protein-coding	Symbol
LOC111099125	LOC111099125	111099125	LOC111099125	uncharacterized LOC111099125	protein-coding	Symbol
LOC111099126	LOC111099126	NA	NA	NA	NA	NA
LOC111099127	LOC111099127	111099127	LOC111099127	single-strand DNA endonuclease ASTE1-like	protein-coding	Symbol
LOC111099128	LOC111099128	111099128	LOC111099128	uncharacterized LOC111099128	protein-coding	Symbol
LOC111099130	LOC111099130	111099130	LOC111099130	uncharacterized LOC111099130	protein-coding	Symbol
LOC111099131	LOC111099131	NA	NA	NA	NA	NA
LOC111099133	LOC111099133	111099133	LOC111099133	uncharacterized LOC111099133	protein-coding	Symbol
LOC111099134	LOC111099134	111099134	LOC111099134	uncharacterized LOC111099134	ncRNA	Symbol
LOC111099135	LOC111099135	111099135	LOC111099135	uncharacterized LOC111099135	pseudo	Symbol
LOC111099137	LOC111099137	111099137	LOC111099137	uncharacterized LOC111099137	protein-coding	Symbol
LOC111099138	LOC111099138	111099138	LOC111099138	ciliary microtubule inner protein 1-like	protein-coding	Symbol
LOC111099139	LOC111099139	111099139	LOC111099139	deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like	protein-coding	Symbol
LOC111099140	LOC111099140	111099140	LOC111099140	putative ATP-dependent RNA helicase DHX37	protein-coding	Symbol
LOC111099141	LOC111099141	NA	NA	NA	NA	NA
LOC111099143	LOC111099143	111099143	LOC111099143	glyceraldehyde-3-phosphate dehydrogenase	protein-coding	Symbol
LOC111099145	LOC111099145	111099145	LOC111099145	uncharacterized LOC111099145	protein-coding	Symbol
LOC111099146	LOC111099146	NA	NA	NA	NA	NA
LOC111099147	LOC111099147	111099147	LOC111099147	uncharacterized LOC111099147	protein-coding	Symbol
LOC111099148	LOC111099148	NA	NA	NA	NA	NA
LOC111099150	LOC111099150	NA	NA	NA	NA	NA
LOC111099151	LOC111099151	111099151	LOC111099151	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like	protein-coding	Symbol
LOC111099152	LOC111099152	NA	NA	NA	NA	NA
LOC111099153	LOC111099153	NA	NA	NA	NA	NA
LOC111099154	LOC111099154	111099154	LOC111099154	neuronal acetylcholine receptor subunit alpha-7-like	protein-coding	Symbol
LOC111099155	LOC111099155	111099155	LOC111099155	caspase-6-like	protein-coding	Symbol
LOC111099156	LOC111099156	NA	NA	NA	NA	NA
LOC111099157	LOC111099157	111099157	LOC111099157	rap1 GTPase-activating protein 1-like	protein-coding	Symbol
LOC111099158	LOC111099158	111099158	LOC111099158	uncharacterized LOC111099158	protein-coding	Symbol
LOC111099161	LOC111099161	111099161	LOC111099161	uncharacterized LOC111099161	protein-coding	Symbol
LOC111099162	LOC111099162	111099162	LOC111099162	ER membrane protein complex subunit 4-like	protein-coding	Symbol
LOC111099163	LOC111099163	111099163	LOC111099163	uncharacterized LOC111099163	protein-coding	Symbol
LOC111099164	LOC111099164	NA	NA	NA	NA	NA
LOC111099165	LOC111099165	111099165	LOC111099165	unconventional myosin-Ic-like	protein-coding	Symbol
LOC111099166	LOC111099166	111099166	LOC111099166	H(+)/Cl(-) exchange transporter 6-like	protein-coding	Symbol
LOC111099168	LOC111099168	111099168	LOC111099168	fatty acid synthase-like	protein-coding	Symbol
LOC111099169	LOC111099169	111099169	LOC111099169	telomere repeats-binding bouquet formation protein 1-like	protein-coding	Symbol
LOC111099170	LOC111099170	111099170	LOC111099170	retinol-binding protein 4-A-like	protein-coding	Symbol
LOC111099171	LOC111099171	111099171	LOC111099171	octopamine receptor beta-2R-like	protein-coding	Symbol
LOC111099172	LOC111099172	111099172	LOC111099172	zinc metalloproteinase nas-15-like	protein-coding	Symbol
LOC111099173	LOC111099173	111099173	LOC111099173	uncharacterized LOC111099173	protein-coding	Symbol
LOC111099174	LOC111099174	111099174	LOC111099174	zinc phosphodiesterase ELAC protein 1-like	protein-coding	Symbol
LOC111099175	LOC111099175	111099175	LOC111099175	malonate--CoA ligase ACSF3, mitochondrial-like	protein-coding	Symbol
LOC111099176	LOC111099176	111099176	LOC111099176	zwei Ig domain protein zig-4-like	protein-coding	Symbol
LOC111099178	LOC111099178	111099178	LOC111099178	uncharacterized LOC111099178	protein-coding	Symbol
LOC111099179	LOC111099179	111099179	LOC111099179	C-type mannose receptor 2-like	protein-coding	Symbol
LOC111099180	LOC111099180	111099180	LOC111099180	cytosol aminopeptidase-like	protein-coding	Symbol
LOC111099181	LOC111099181	NA	NA	NA	NA	NA
LOC111099182	LOC111099182	111099182	LOC111099182	phosphoenolpyruvate phosphomutase	protein-coding	Symbol
LOC111099183	LOC111099183	111099183	LOC111099183	SPRY domain-containing protein 7-like	protein-coding	Symbol
LOC111099184	LOC111099184	111099184	LOC111099184	uncharacterized LOC111099184	protein-coding	Symbol
LOC111099185	LOC111099185	111099185	LOC111099185	A disintegrin and metalloproteinase with thrombospondin motifs 18-like	protein-coding	Symbol
LOC111099186	LOC111099186	111099186	LOC111099186	uncharacterized LOC111099186	protein-coding	Symbol
LOC111099188	LOC111099188	NA	NA	NA	NA	NA
LOC111099190	LOC111099190	111099190	LOC111099190	uncharacterized LOC111099190	protein-coding	Symbol
LOC111099191	LOC111099191	NA	NA	NA	NA	NA
LOC111099192	LOC111099192	111099192	LOC111099192	transport and Golgi organization protein 6 homolog	protein-coding	Symbol
LOC111099193	LOC111099193	111099193	LOC111099193	chitin deacetylase 7-like	protein-coding	Symbol
LOC111099194	LOC111099194	111099194	LOC111099194	uncharacterized LOC111099194	protein-coding	Symbol
LOC111099195	LOC111099195	111099195	LOC111099195	uncharacterized LOC111099195	protein-coding	Symbol
LOC111099196	LOC111099196	111099196	LOC111099196	BICD family-like cargo adapter 1	protein-coding	Symbol
LOC111099197	LOC111099197	111099197	LOC111099197	CDK5 regulatory subunit-associated protein 3-like	protein-coding	Symbol
LOC111099199	LOC111099199	111099199	LOC111099199	uncharacterized LOC111099199	protein-coding	Symbol
LOC111099200	LOC111099200	111099200	LOC111099200	WW domain-containing oxidoreductase-like	protein-coding	Symbol
LOC111099201	LOC111099201	NA	NA	NA	NA	NA
LOC111099202	LOC111099202	NA	NA	NA	NA	NA
LOC111099203	LOC111099203	111099203	LOC111099203	coiled-coil domain-containing protein 90B, mitochondrial-like	protein-coding	Symbol
LOC111099204	LOC111099204	NA	NA	NA	NA	NA
LOC111099205	LOC111099205	111099205	LOC111099205	uncharacterized LOC111099205	protein-coding	Symbol
LOC111099206	LOC111099206	111099206	LOC111099206	ciliary-associated calcium-binding coiled-coil protein 1-like	protein-coding	Symbol
LOC111099207	LOC111099207	111099207	LOC111099207	organic cation transporter protein-like	protein-coding	Symbol
LOC111099209	LOC111099209	111099209	LOC111099209	coiled-coil domain-containing protein 92-like	protein-coding	Symbol
LOC111099210	LOC111099210	111099210	LOC111099210	uncharacterized LOC111099210	protein-coding	Symbol
LOC111099211	LOC111099211	NA	NA	NA	NA	NA
LOC111099212	LOC111099212	111099212	LOC111099212	mitochondrial intermediate peptidase-like	protein-coding	Symbol
LOC111099213	LOC111099213	111099213	LOC111099213	vesicular inhibitory amino acid transporter-like	protein-coding	Symbol
LOC111099214	LOC111099214	111099214	LOC111099214	protein N-terminal glutamine amidohydrolase-like	protein-coding	Symbol
LOC111099215	LOC111099215	111099215	LOC111099215	isochorismatase domain-containing protein 1-like	protein-coding	Symbol
LOC111099216	LOC111099216	111099216	LOC111099216	F-box only protein 42-like	protein-coding	Symbol
LOC111099217	LOC111099217	111099217	LOC111099217	uncharacterized LOC111099217	protein-coding	Symbol
LOC111099218	LOC111099218	111099218	LOC111099218	uncharacterized LOC111099218	protein-coding	Symbol
LOC111099219	LOC111099219	111099219	LOC111099219	lysophospholipid acyltransferase 5-like	protein-coding	Symbol
LOC111099220	LOC111099220	111099220	LOC111099220	syntaxin-18-like	protein-coding	Symbol
LOC111099221	LOC111099221	111099221	LOC111099221	fucose mutarotase-like	protein-coding	Symbol
LOC111099222	LOC111099222	111099222	LOC111099222	chitinase domain-containing protein 1-like	protein-coding	Symbol
LOC111099224	LOC111099224	111099224	LOC111099224	putative G-protein coupled receptor No18	protein-coding	Symbol
LOC111099225	LOC111099225	111099225	LOC111099225	uncharacterized LOC111099225	protein-coding	Symbol
LOC111099226	LOC111099226	NA	NA	NA	NA	NA
LOC111099227	LOC111099227	111099227	LOC111099227	uncharacterized LOC111099227	protein-coding	Symbol
LOC111099228	LOC111099228	NA	NA	NA	NA	NA
LOC111099229	LOC111099229	111099229	LOC111099229	uncharacterized LOC111099229	protein-coding	Symbol
LOC111099230	LOC111099230	111099230	LOC111099230	uncharacterized LOC111099230	protein-coding	Symbol
LOC111099246	LOC111099246	111099246	LOC111099246	uncharacterized LOC111099246	protein-coding	Symbol
LOC111099262	LOC111099262	111099262	LOC111099262	uncharacterized LOC111099262	protein-coding	Symbol
LOC111099300	LOC111099300	111099300	LOC111099300	translation initiation factor eIF2B subunit delta-like	protein-coding	Symbol
LOC111099316	LOC111099316	NA	NA	NA	NA	NA
LOC111099327	LOC111099327	NA	NA	NA	NA	NA
LOC111099343	LOC111099343	111099343	LOC111099343	SPRY domain-containing protein 3-like	protein-coding	Symbol
LOC111099359	LOC111099359	111099359	LOC111099359	uncharacterized LOC111099359	protein-coding	Symbol
LOC111099375	LOC111099375	NA	NA	NA	NA	NA
LOC111099409	LOC111099409	NA	NA	NA	NA	NA
LOC111099410	LOC111099410	111099410	LOC111099410	signal peptide, CUB and EGF-like domain-containing protein 2	protein-coding	Symbol
LOC111099413	LOC111099413	111099413	LOC111099413	nuclear apoptosis-inducing factor 1-like	pseudo	Symbol
LOC111099414	LOC111099414	111099414	LOC111099414	microfibril-associated glycoprotein 4-like	protein-coding	Symbol
LOC111099415	LOC111099415	111099415	LOC111099415	uncharacterized LOC111099415	ncRNA	Symbol
LOC111099417	LOC111099417	111099417	LOC111099417	uncharacterized LOC111099417	protein-coding	Symbol
LOC111099418	LOC111099418	NA	NA	NA	NA	NA
LOC111099419	LOC111099419	111099419	LOC111099419	potassium channel subfamily K member 18-like	protein-coding	Symbol
LOC111099420	LOC111099420	111099420	LOC111099420	uncharacterized LOC111099420	protein-coding	Symbol
LOC111099421	LOC111099421	NA	NA	NA	NA	NA
LOC111099423	LOC111099423	111099423	LOC111099423	uncharacterized LOC111099423	protein-coding	Symbol
LOC111099424	LOC111099424	NA	NA	NA	NA	NA
LOC111099425	LOC111099425	NA	NA	NA	NA	NA
LOC111099426	LOC111099426	111099426	LOC111099426	uncharacterized LOC111099426	protein-coding	Symbol
LOC111099427	LOC111099427	111099427	LOC111099427	ectonucleoside triphosphate diphosphohydrolase 8-like	protein-coding	Symbol
LOC111099428	LOC111099428	111099428	LOC111099428	uncharacterized LOC111099428	protein-coding	Symbol
LOC111099429	LOC111099429	111099429	LOC111099429	uncharacterized LOC111099429	protein-coding	Symbol
LOC111099430	LOC111099430	111099430	LOC111099430	laminin subunit alpha lam-3-like	protein-coding	Symbol
LOC111099432	LOC111099432	111099432	LOC111099432	uncharacterized LOC111099432	ncRNA	Symbol
LOC111099434	LOC111099434	111099434	LOC111099434	uncharacterized LOC111099434	protein-coding	Symbol
LOC111099436	LOC111099436	NA	NA	NA	NA	NA
LOC111099437	LOC111099437	111099437	LOC111099437	uncharacterized LOC111099437	protein-coding	Symbol
LOC111099438	LOC111099438	NA	NA	NA	NA	NA
LOC111099439	LOC111099439	111099439	LOC111099439	uncharacterized LOC111099439	protein-coding	Symbol
LOC111099442	LOC111099442	NA	NA	NA	NA	NA
LOC111099443	LOC111099443	111099443	LOC111099443	uncharacterized LOC111099443	protein-coding	Symbol
LOC111099446	LOC111099446	111099446	LOC111099446	putative serine protease K12H4.7	protein-coding	Symbol
LOC111099447	LOC111099447	111099447	LOC111099447	uncharacterized LOC111099447	protein-coding	Symbol
LOC111099448	LOC111099448	NA	NA	NA	NA	NA
LOC111099449	LOC111099449	NA	NA	NA	NA	NA
LOC111099450	LOC111099450	111099450	LOC111099450	uncharacterized LOC111099450	protein-coding	Symbol
LOC111099451	LOC111099451	111099451	LOC111099451	uncharacterized LOC111099451	protein-coding	Symbol
LOC111099453	LOC111099453	111099453	LOC111099453	uncharacterized LOC111099453	pseudo	Symbol
LOC111099454	LOC111099454	NA	NA	NA	NA	NA
LOC111099455	LOC111099455	111099455	LOC111099455	uncharacterized LOC111099455	protein-coding	Symbol
LOC111099456	LOC111099456	NA	NA	NA	NA	NA
LOC111099458	LOC111099458	111099458	LOC111099458	uncharacterized LOC111099458	protein-coding	Symbol
LOC111099459	LOC111099459	111099459	LOC111099459	uncharacterized LOC111099459	protein-coding	Symbol
LOC111099460	LOC111099460	111099460	LOC111099460	uncharacterized LOC111099460	protein-coding	Symbol
LOC111099461	LOC111099461	111099461	LOC111099461	solute carrier family 49 member A3-like	protein-coding	Symbol
LOC111099462	LOC111099462	NA	NA	NA	NA	NA
LOC111099463	LOC111099463	111099463	LOC111099463	uncharacterized LOC111099463	protein-coding	Symbol
LOC111099464	LOC111099464	111099464	LOC111099464	uncharacterized LOC111099464	protein-coding	Symbol
LOC111099465	LOC111099465	NA	NA	NA	NA	NA
LOC111099466	LOC111099466	NA	NA	NA	NA	NA
LOC111099468	LOC111099468	111099468	LOC111099468	cytochrome P450 2C14-like	protein-coding	Symbol
LOC111099469	LOC111099469	111099469	LOC111099469	protein FAM43A-like	protein-coding	Symbol
LOC111099470	LOC111099470	NA	NA	NA	NA	NA
LOC111099471	LOC111099471	111099471	LOC111099471	UBX domain-containing protein 4-like	protein-coding	Symbol
LOC111099473	LOC111099473	111099473	LOC111099473	uncharacterized LOC111099473	protein-coding	Symbol
LOC111099474	LOC111099474	NA	NA	NA	NA	NA
LOC111099475	LOC111099475	111099475	LOC111099475	uncharacterized LOC111099475	protein-coding	Symbol
LOC111099476	LOC111099476	111099476	LOC111099476	uncharacterized LOC111099476	protein-coding	Symbol
LOC111099477	LOC111099477	111099477	LOC111099477	uncharacterized LOC111099477	protein-coding	Symbol
LOC111099478	LOC111099478	111099478	LOC111099478	ligand-dependent nuclear receptor corepressor-like protein	protein-coding	Symbol
LOC111099479	LOC111099479	111099479	LOC111099479	MORN repeat-containing protein 4-like	protein-coding	Symbol
LOC111099480	LOC111099480	NA	NA	NA	NA	NA
LOC111099481	LOC111099481	111099481	LOC111099481	uncharacterized LOC111099481	protein-coding	Symbol
LOC111099482	LOC111099482	NA	NA	NA	NA	NA
LOC111099483	LOC111099483	111099483	LOC111099483	disks large homolog 1-like	protein-coding	Symbol
LOC111099484	LOC111099484	NA	NA	NA	NA	NA
LOC111099485	LOC111099485	NA	NA	NA	NA	NA
LOC111099486	LOC111099486	NA	NA	NA	NA	NA
LOC111099489	LOC111099489	111099489	LOC111099489	S-adenosylmethionine-dependent methyltransferase Rv2258c-like	protein-coding	Symbol
LOC111099490	LOC111099490	NA	NA	NA	NA	NA
LOC111099491	LOC111099491	NA	NA	NA	NA	NA
LOC111099493	LOC111099493	NA	NA	NA	NA	NA
LOC111099494	LOC111099494	111099494	LOC111099494	uncharacterized LOC111099494	protein-coding	Symbol
LOC111099495	LOC111099495	NA	NA	NA	NA	NA
LOC111099496	LOC111099496	111099496	LOC111099496	putative thioesterase PNKD	protein-coding	Symbol
LOC111099497	LOC111099497	111099497	LOC111099497	uncharacterized LOC111099497	protein-coding	Symbol
LOC111099498	LOC111099498	NA	NA	NA	NA	NA
LOC111099499	LOC111099499	111099499	LOC111099499	uncharacterized LOC111099499	protein-coding	Symbol
LOC111099500	LOC111099500	111099500	LOC111099500	uncharacterized LOC111099500	protein-coding	Symbol
LOC111099501	LOC111099501	NA	NA	NA	NA	NA
LOC111099502	LOC111099502	NA	NA	NA	NA	NA
LOC111099503	LOC111099503	111099503	LOC111099503	transcription factor Sox-14-like	protein-coding	Symbol
LOC111099504	LOC111099504	NA	NA	NA	NA	NA
LOC111099506	LOC111099506	111099506	LOC111099506	uncharacterized LOC111099506	protein-coding	Symbol
LOC111099507	LOC111099507	111099507	LOC111099507	uncharacterized LOC111099507	protein-coding	Symbol
LOC111099508	LOC111099508	111099508	LOC111099508	uncharacterized LOC111099508	protein-coding	Symbol
LOC111099509	LOC111099509	NA	NA	NA	NA	NA
LOC111099510	LOC111099510	NA	NA	NA	NA	NA
LOC111099511	LOC111099511	111099511	LOC111099511	GPI-N-acetylgalactosamine transferase PGAP4-like	protein-coding	Symbol
LOC111099513	LOC111099513	111099513	LOC111099513	uncharacterized LOC111099513	protein-coding	Symbol
LOC111099514	LOC111099514	111099514	LOC111099514	uncharacterized LOC111099514	protein-coding	Symbol
LOC111099515	LOC111099515	NA	NA	NA	NA	NA
LOC111099516	LOC111099516	NA	NA	NA	NA	NA
LOC111099517	LOC111099517	111099517	LOC111099517	uncharacterized LOC111099517	protein-coding	Symbol
LOC111099518	LOC111099518	111099518	LOC111099518	EGF-like domain-containing protein 2	protein-coding	Symbol
LOC111099519	LOC111099519	111099519	LOC111099519	intermembrane lipid transfer protein VPS13D-like	protein-coding	Symbol
LOC111099521	LOC111099521	111099521	LOC111099521	uncharacterized LOC111099521	protein-coding	Symbol
LOC111099522	LOC111099522	111099522	LOC111099522	tumor necrosis factor ligand superfamily member 14-like	protein-coding	Symbol
LOC111099523	LOC111099523	111099523	LOC111099523	CD40 ligand-like	protein-coding	Symbol
LOC111099524	LOC111099524	111099524	LOC111099524	nuclear pore complex protein Nup107-like	protein-coding	Symbol
LOC111099526	LOC111099526	111099526	LOC111099526	uncharacterized LOC111099526	protein-coding	Symbol
LOC111099527	LOC111099527	111099527	LOC111099527	peptidoglycan-recognition protein SC2-like	protein-coding	Symbol
LOC111099528	LOC111099528	NA	NA	NA	NA	NA
LOC111099529	LOC111099529	111099529	LOC111099529	uncharacterized LOC111099529	protein-coding	Symbol
LOC111099531	LOC111099531	111099531	LOC111099531	CDK2-associated and cullin domain-containing protein 1-like	protein-coding	Symbol
LOC111099532	LOC111099532	NA	NA	NA	NA	NA
LOC111099533	LOC111099533	NA	NA	NA	NA	NA
LOC111099534	LOC111099534	NA	NA	NA	NA	NA
LOC111099535	LOC111099535	NA	NA	NA	NA	NA
LOC111099536	LOC111099536	111099536	LOC111099536	uncharacterized LOC111099536	protein-coding	Symbol
LOC111099537	LOC111099537	NA	NA	NA	NA	NA
LOC111099539	LOC111099539	NA	NA	NA	NA	NA
LOC111099540	LOC111099540	NA	NA	NA	NA	NA
LOC111099542	LOC111099542	NA	NA	NA	NA	NA
LOC111099543	LOC111099543	111099543	LOC111099543	uncharacterized LOC111099543	protein-coding	Symbol
LOC111099544	LOC111099544	111099544	LOC111099544	T-complex protein 1 subunit beta-like	protein-coding	Symbol
LOC111099545	LOC111099545	111099545	LOC111099545	uncharacterized LOC111099545	protein-coding	Symbol
LOC111099546	LOC111099546	NA	NA	NA	NA	NA
LOC111099547	LOC111099547	111099547	LOC111099547	uncharacterized LOC111099547	protein-coding	Symbol
LOC111099548	LOC111099548	111099548	LOC111099548	osmotic avoidance abnormal protein 3-like	protein-coding	Symbol
LOC111099549	LOC111099549	111099549	LOC111099549	uncharacterized LOC111099549	protein-coding	Symbol
LOC111099551	LOC111099551	111099551	LOC111099551	uncharacterized LOC111099551	protein-coding	Symbol
LOC111099552	LOC111099552	111099552	LOC111099552	exodeoxyribonuclease-like	protein-coding	Symbol
LOC111099553	LOC111099553	111099553	LOC111099553	ankyrin repeat domain-containing protein 61-like	protein-coding	Symbol
LOC111099554	LOC111099554	NA	NA	NA	NA	NA
LOC111099555	LOC111099555	111099555	LOC111099555	uncharacterized LOC111099555	protein-coding	Symbol
LOC111099556	LOC111099556	NA	NA	NA	NA	NA
LOC111099557	LOC111099557	111099557	LOC111099557	choline/ethanolamine kinase-like	protein-coding	Symbol
