target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	931.071	45.4646	65.9951
rna-XR_002635081.1	711	625.159	41	88.6369
rna-XR_002636046.1	3105	3019.07	223.984	100.268
rna-XR_002638148.1	1586	1500.07	90	81.0872
rna-XR_002639675.1	25148	25062.1	1948	105.049
rna-XR_002636574.1	10029	9943.07	628.648	85.4492
rna-XR_002636864.1	6843	6757.07	1956.87	391.404
rna-XR_002636863.1	6857	6771.07	3279.14	654.522
rna-XR_002635698.1	5581	5495.07	508	124.943
rna-XR_002637875.1	1611	1525.07	37.0498	32.8335
rna-XR_002639757.1	803	717.159	153	288.335
rna-XR_002637404.1	5548	5462.07	9.14128e-05	2.26189e-05
rna-XR_002637403.1	5983	5897.07	408.324	93.5814
rna-XR_002638411.1	1032	946.071	49.972	71.3879
rna-XR_002638407.1	729	643.159	33.7195	70.8573
rna-XR_002639131.1	1047	961.071	65	91.407
rna-XR_002637017.1	894	808.159	85.8019	143.49
rna-XR_002637713.1	950	864.071	128	200.208
rna-XR_002637880.1	796	710.159	40	76.1247
rna-XR_002637799.1	2043	1957.07	101.745	70.2635
rna-XR_002638995.1	4595	4509.07	1108.09	332.13
rna-XR_002634943.1	2592	2506.07	139.689	75.3336
rna-XR_002638063.1	2112	2026.07	25.2546	16.8464
rna-XR_002638876.1	781	695.159	38	73.879
rna-XR_002637797.1	729	643.159	237	498.025
rna-XR_002635789.1	2467	2381.07	573.484	325.515
rna-XR_002634753.1	12574	12488.1	1463.79	158.418
rna-XR_002634768.1	11583	11497.1	487.25	57.2777
rna-XR_002634760.1	11581	11495.1	565.099	66.4407
rna-XR_002634750.1	11580	11494.1	608.577	71.5588
rna-XR_002634765.1	11580	11494.1	608.577	71.5588
rna-XR_002634752.1	11577	11491.1	760.159	89.4057
rna-XR_002634754.1	11576	11490.1	818.665	96.2953
rna-XR_002634762.1	11576	11490.1	818.665	96.2953
rna-XR_002634766.1	11574	11488.1	949.552	111.71
rna-XR_002633935.1	431	345.183	29	113.545
rna-XR_002634061.1	501	415.183	72	234.376
rna-XR_002639939.1	2258	2172.07	1288.51	801.742
rna-XR_002636171.1	1823	1737.07	119	92.5872
rna-XR_002639137.1	2172	2086.07	2436.03	1578.24
rna-XR_002639138.1	13744	13658.1	2670.35	264.241
rna-XR_002637000.1	940	854.071	6.37471	10.0876
rna-XR_002635934.1	8203	8117.07	2491.51	414.845
rna-XR_002638094.1	4346	4260.07	29.1108	9.23547
rna-XR_002638095.1	4346	4260.07	29.1108	9.23547
rna-XR_002638091.1	4345	4259.07	35.5568	11.2831
rna-XR_002638093.1	4345	4259.07	35.5568	11.2831
rna-XR_002638097.1	4345	4259.07	35.5568	11.2831
rna-XR_002638090.1	4343	4257.07	53.0541	16.8434
rna-XR_002638096.1	4343	4257.07	53.0541	16.8434
rna-XR_002638679.1	12442	12356.1	4322.35	472.783
rna-XR_002638671.1	11226	11140.1	2443.32	296.424
rna-XR_002638132.1	668	582.159	27	62.6821
rna-XR_002636687.1	622	536.159	47	118.475
rna-XR_002638840.1	1814	1728.07	122	95.4157
rna-XR_002638600.1	25571	25485.1	1746.63	92.6267
rna-XR_002635894.1	3468	3382.07	622.341	248.695
rna-XR_002635072.1	2915	2829.07	926.193	442.465
rna-XR_002636555.1	2022	1936.07	127.369	88.9125
rna-XR_002638364.1	4275	4189.07	3707.45	1196.13
rna-XR_002637425.1	53382	53296.1	2601.58	65.9727
rna-XR_002637423.1	1528	1442.07	0	0
rna-XR_002637424.1	1524	1438.07	0	0
rna-XR_002637419.1	2114	2028.07	181.559	120.992
rna-XR_002637421.1	2114	2028.07	181.559	120.992
rna-XR_002636179.1	2869	2783.07	27.9301	13.5634
rna-XR_002634989.1	5721	5635.07	313.907	75.2876
rna-XR_002634991.1	5721	5635.07	313.907	75.2876
rna-XR_002637676.1	1190	1104.07	75	91.8091
rna-XR_002639760.1	3442	3356.07	1699.3	684.322
rna-XR_002637696.1	1358	1272.07	254.878	270.796
rna-XR_002637764.1	16571	16485.1	1332.77	109.266
rna-XR_002638213.1	2887	2801.07	176	84.92
rna-XR_002635759.1	5044	4958.07	80.5897	21.9679
rna-XR_002635760.1	5047	4961.07	756.41	206.065
rna-XR_002639528.1	3153	3067.07	503.02	221.658
rna-XR_002637753.1	41923	41837.1	3293.44	106.392
rna-XR_002637752.1	50097	50011.1	1212.15	32.7576
rna-XR_002636558.1	2509	2423.07	705.305	393.398
rna-XR_002635374.1	2792	2706.07	232.133	115.936
rna-XR_002638485.1	25118	25032.1	0.958313	0.0517407
rna-XR_002638486.1	25122	25036.1	449.895	24.2866
rna-XR_002638487.1	20258	20172.1	2612.06	175.006
rna-XR_002637599.1	1516	1430.07	308	291.081
rna-XR_002637108.1	2570	2484.07	228	124.049
rna-XR_002638776.1	6414	6328.07	561.071	119.831
rna-XR_002634884.1	4828	4742.07	1062	302.676
rna-XR_002636369.1	6057	5971.07	78.5715	17.7842
rna-XR_002636373.1	6057	5971.07	78.5715	17.7842
rna-XR_002636376.1	6057	5971.07	78.5715	17.7842
rna-XR_002636377.1	6057	5971.07	78.5715	17.7842
rna-XR_002636378.1	6057	5971.07	78.5715	17.7842
rna-XR_002636379.1	6057	5971.07	78.5715	17.7842
rna-XR_002636380.1	6049	5963.07	14.106	3.1971
rna-XR_002635791.1	5513	5427.07	339.425	84.5279
rna-XR_002634844.1	2698	2612.07	113	58.4676
rna-XR_002639408.1	2832	2746.07	107.384	52.8506
rna-XR_002634095.1	6873	6787.07	462.329	92.0642
rna-XR_002634101.1	6873	6787.07	462.329	92.0642
rna-XR_002639331.1	4949	4863.07	2937.8	816.456
rna-XR_002639328.1	576	490.159	45.0357	124.177
rna-XR_002637493.1	1981	1895.07	199.059	141.964
rna-XR_002639142.1	4052	3966.07	484.422	165.076
rna-XR_002639143.1	1776	1690.07	115	91.9633
rna-XR_002639218.1	6249	6163.07	429.202	94.1208
rna-XR_002633990.1	2189	2103.07	128	82.2579
