target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	902.262	42.9989	97.086
rna-XR_002635081.1	711	596.3	33	112.741
rna-XR_002636046.1	3105	2990.26	96.3804	65.6617
rna-XR_002638148.1	1586	1471.26	52	72.0022
rna-XR_002639675.1	25148	25033.3	1076	87.5643
rna-XR_002636574.1	10029	9914.26	338.466	69.5484
rna-XR_002636864.1	6843	6728.26	536.141	162.334
rna-XR_002636863.1	6857	6742.26	2543.27	768.455
rna-XR_002635698.1	5581	5466.26	213	79.3819
rna-XR_002637875.1	1611	1496.26	29.6172	40.3244
rna-XR_002639757.1	803	688.3	108	319.653
rna-XR_002637404.1	5548	5433.26	93.3051	34.9846
rna-XR_002637403.1	5983	5868.26	202.354	70.248
rna-XR_002638411.1	1032	917.262	57.5252	127.761
rna-XR_002638407.1	729	614.3	11.8607	39.3336
rna-XR_002639131.1	1047	932.262	42	91.779
rna-XR_002637017.1	894	779.262	60.3445	157.756
rna-XR_002637713.1	950	835.262	67	163.412
rna-XR_002637880.1	796	681.3	22	65.7835
rna-XR_002637799.1	2043	1928.26	56.6506	59.8509
rna-XR_002638995.1	4595	4480.26	982.876	446.918
rna-XR_002634943.1	2592	2477.26	15.7361	12.9407
rna-XR_002638063.1	2112	1997.26	10.3494	10.5563
rna-XR_002638876.1	781	666.3	13	39.7472
rna-XR_002637797.1	729	614.3	109	361.475
rna-XR_002635789.1	2467	2352.26	469.759	406.838
rna-XR_002634753.1	12574	12459.3	397.987	65.0741
rna-XR_002634768.1	11583	11468.3	390.366	69.3436
rna-XR_002634760.1	11581	11466.3	459.108	81.569
rna-XR_002634750.1	11580	11465.3	497.898	88.4686
rna-XR_002634765.1	11580	11465.3	497.898	88.4686
rna-XR_002634752.1	11577	11462.3	635.093	112.875
rna-XR_002634754.1	11576	11461.3	688.773	122.427
rna-XR_002634762.1	11576	11461.3	688.773	122.427
rna-XR_002634766.1	11574	11459.3	810.143	144.025
